,evals,X,fX
0,0,"[ 3.22947057 -2.81206394 -0.541135    4.8183138  -3.08279241 -1.04137481
 -2.3555254  -2.15977719 -0.37201681 -4.64481971]",[10.48888456]
1,1,"[-4.5643535   0.10109199  4.16309923 -1.10921625  4.35006074  4.89309171
  3.99579282  2.30739681  3.90264588  0.59137213]",[11.46886899]
2,2,"[ 1.32277806 -1.12883155 -2.71924834 -2.15783026 -4.906051    3.08817749
 -1.93952139  3.08466998  4.71874039 -1.5908985 ]",[10.26646851]
3,3,"[-3.2024605   2.18515977  3.48815598  0.30112736  3.33383358 -1.64681065
  1.05191281 -4.35536851 -3.42285825  1.81855385]",[10.37396298]
4,4,"[-4.19345241  3.26554163  1.26645801 -2.66844614  1.22212796  0.79484792
  0.55187571 -1.71835205 -4.30908524  0.98291181]",[9.59759681]
5,5,"[ 1.84362585 -0.89503385 -4.51449362  4.18972454 -4.51950796 -0.11770267
 -2.65674399  4.88380544  3.0242276  -1.3036821 ]",[11.09500304]
6,6,"[ 1.5899159   2.07131497  0.32073748 -1.5376394   2.83300727 -3.67305255
 -2.38375973 -4.53029745  2.87973248 -0.35351901]",[9.98021353]
7,7,"[-3.40715524 -1.6629481  -4.34101069  3.58163602 -3.55296954  0.91595681
  2.93256467  0.10053773 -0.85529985  0.02347738]",[9.83619813]
8,8,"[-2.11921333  2.96020966 -2.13874047  1.11540816  4.76374506 -2.76437311
 -0.76795664  3.49739638  1.48718475  4.0689891 ]",[10.14099333]
9,9,"[ 1.9825287  -0.59448401  2.90636436 -0.59132319 -1.53734205  3.6262714
  2.50662191 -0.21958183 -1.780049   -2.88072476]",[8.84939934]
10,10,"[-1.90992286 -2.8561565  -4.32262968  1.49141163 -2.15017545 -2.04563619
 -2.12837376 -1.7339959   3.26051635  2.15709218]",[9.37320157]
11,11,"[ 4.48273298  1.83780935  2.17932463 -0.54038322  4.03096995  3.51944292
  0.50113444  4.59741307 -1.4287935  -0.00576497]",[10.62171274]
12,12,"[-0.75995885  4.03659479 -2.15449631  2.03591649  0.34583498 -1.51285613
 -2.73228659 -1.389722   -0.66808837 -0.12239247]",[8.13370276]
13,13,"[ 4.27901671 -4.94142958  1.79989032 -1.35004719 -4.14185161  2.60518303
  0.27168994  0.99998262  0.09260897  3.96848852]",[10.34048398]
14,14,"[-4.17652922  3.10739201 -2.11385706  1.18946411  4.67106999  3.06982978
  2.67816402 -2.05045012 -1.34938985 -3.44027502]",[10.51992236]
15,15,"[ 1.99110531 -3.95078126  0.93096503 -0.27813805 -1.30224602 -2.54770596
 -3.86292686  1.27178241  0.2901458   2.17208313]",[8.69407131]
16,16,"[ 0.33624816 -1.60303613  2.26848422  2.68289606 -0.51664353 -0.04830526
 -3.91551508 -1.68460898 -3.68338812  0.103255  ]",[8.85475804]
17,17,"[-1.20810673  1.60008575 -3.08268053 -2.05841443  4.15524228  3.14490922
  4.36325328  1.36771017  3.99023417 -4.07182028]",[10.6863463]
18,18,"[ 1.26970821 -3.93344011  2.59100357 -4.87168641  1.03735038  2.12342734
 -3.1291501   2.31787712  1.38814353  2.93392173]",[9.99379521]
19,19,"[-0.68072197  0.58765928 -2.41310446  0.66034053 -1.41570159 -3.01970149
  2.82710656 -4.08360082 -4.2757612  -2.5597186 ]",[10.03710083]
20,20,"[-4.58288782 -2.23903765  2.92238034  4.80968189  1.46073763 -3.7958561
 -4.49853029 -4.91785185  4.64764658  3.34958273]",[12.67901267]
21,21,"[ 3.92576456  1.40865053 -2.06794917 -4.68022367 -2.57186202  4.8874757
  4.38252623  1.69079476 -0.19214923 -3.84149187]",[11.42484029]
22,22,"[-3.53489858 -0.75528222  3.08938346  0.06618429  1.73616759  0.7407043
 -0.09085305 -2.60814846  2.48695683  3.19736258]",[8.88896016]
23,23,"[ 1.84292303  0.68450136 -0.88941133 -4.05076044 -2.44340509 -3.87841486
  0.48922242  4.31095759 -0.13540255 -0.19582671]",[9.37607576]
24,24,"[ 1.16117071  0.66243817 -4.73286409 -1.37202818 -4.94286271 -1.14709626
  0.73473323  0.39761041 -4.55198483  3.36023904]",[10.69625201]
25,25,"[-3.77316395 -2.89730267  2.78684396  4.30275587  3.63522131  1.35163953
 -4.342586   -4.7231284   1.50799317 -3.68940925]",[11.96483249]
26,26,"[-4.09424519 -1.05727244 -4.71575962 -1.51501379  3.89347698  3.88703781
  1.29711282  1.86906569 -2.06200182 -3.63589049]",[10.61527112]
27,27,"[ 1.854264    0.9852714   2.29927942  0.22306151 -1.00102058 -4.61521777
 -2.40582426 -3.4659495   2.88771474  4.7971667 ]",[10.30541336]
28,28,"[-1.59303745  1.38798049 -4.35569717 -3.03662162  4.78202861 -4.06434554
 -0.48008023  2.71902975 -2.71544289 -0.58979295]",[10.85607521]
29,29,"[ 2.29301981 -1.37916182  1.99512661  4.52022196 -1.5498749   3.49811027
  1.63860201 -1.21610679  3.18030528  1.20010137]",[9.79168172]
30,30,"[ 4.28861322  2.28611727 -0.24062762 -2.12124419 -0.8961644   4.54421859
  4.07761909 -4.20292768 -1.8555078   1.99217129]",[10.44882286]
31,31,"[-4.68643524 -2.87983874  1.29342033  4.24519154  0.16652313 -0.20508639
 -3.22315576  1.78353445  0.08164251 -4.07383837]",[10.01377844]
32,32,"[-2.72918802  1.63350441 -3.83627935  3.07232353  0.16537296 -4.92196968
 -2.85602139  0.34037037  1.25970494 -3.89419542]",[10.17442244]
33,33,"[ 1.26595597 -4.34472384  0.06018111 -4.42257851 -1.9075987   4.87128106
  4.95172501 -2.95472952 -4.18522787  3.19380879]",[11.52143007]
34,34,"[-3.7929069  -1.68747714 -3.76968408 -1.67070441  2.58654259  2.12044494
  2.77343904  1.4352576  -1.46712647  2.07428435]",[9.68077275]
35,35,"[ 1.8027278   4.14328457  4.62483456  0.23003655 -3.83686504 -3.25740315
 -0.9251676  -0.07254286  4.84485852 -0.47525827]",[10.55961338]
36,36,"[-3.83289872 -1.55115867 -4.70821821  3.6535455   4.40860106  1.36218448
 -3.10471552 -3.12851908 -1.25605871 -3.81096379]",[11.48848171]
37,37,"[ 0.8592655   2.24645824  1.52234204 -0.80405439 -3.81129087 -2.48805271
  4.712918    3.16998849  4.33644703  4.70104845]",[11.29230746]
38,38,"[ 0.35434889  1.46397016  0.76177353 -2.91256813 -4.34355336  3.02058902
  1.9140403   4.47692942  4.83897336  2.73442451]",[10.87500601]
39,39,"[-3.62588215 -2.03884791 -0.51619421  2.03366673  2.76039138 -3.64173616
 -2.72277925 -2.99143232 -3.75793267 -2.47066808]",[10.36665861]
40,40,"[-0.02103368  3.89434587 -0.91835725  3.18669181  1.90181465 -3.18330162
 -1.40949023 -4.38752126 -2.56117794  0.27996034]",[9.6697266]
41,41,"[-2.04173737  2.54927972 -4.55342307  3.65443622  0.05723291  1.59896659
  0.85702136 -1.42839075 -1.61187177 -2.08623642]",[9.45783609]
42,42,"[-4.7011341   1.64115227  0.19584774 -1.77410051 -2.51532278 -2.24084471
  0.07953107  0.49119264 -1.99704008 -0.0315441 ]",[8.49536513]
43,43,"[ 2.98293585  2.17901456 -4.99514606  2.41394875  3.35185249  1.2536484
 -1.59433189  1.97371481  1.34574516 -2.26913096]",[9.92130202]
44,44,"[-1.74130713  3.33231946 -1.06280285  0.14968044  0.81687366 -0.22110833
 -0.58699602 -3.3795878   0.32519994 -2.01486032]",[7.67619865]
45,45,"[-4.47844155  0.83090374 -4.46787613  4.33652024 -3.63707704 -0.67450735
 -3.50219345 -4.77210151 -0.5494473   0.17095956]",[11.72975326]
