,evals,X,fX
0,0,"[ 1.65167411 -3.97675683 -1.90364517  1.49827337  1.33413638 -1.89433084
  2.64571047 -4.32710027  2.56789061 -4.07780067]",[10.36437827]
1,1,"[-1.07332426  4.26987646  2.47118419 -0.76719257 -4.60177261  2.52623045
 -4.67356748  2.14061164 -4.51734542  0.63579986]",[11.40806343]
2,2,"[ 4.80287999  3.29621838 -1.2447547  -3.7150489   0.13458488  3.95296213
 -2.35361531  0.81405071  0.64329371  1.68582841]",[10.10196646]
3,3,"[ 1.85174533 -0.03035363 -1.1530484   4.87908262  4.84713518  4.49846803
  1.81428794  1.67332824 -2.1224436   4.2746811 ]",[10.78941631]
4,4,"[-0.78511895  3.57931201  1.3565765  -2.4711916  -4.59484204  0.69058467
 -2.44320895 -1.65192449 -2.23587663 -2.45920152]",[10.04070419]
5,5,"[ 2.38629843 -0.95210923 -4.63229906  4.31818828  1.31380413  2.43013753
 -0.17312528  4.61784614 -3.93068212  3.26117389]",[11.30163604]
6,6,"[ 4.02128475 -2.96417216 -0.30810608 -2.73453505  3.93300249  1.64404201
  3.99709382 -0.72312185 -0.50903172 -4.20757104]",[10.35148537]
7,7,"[-1.59472428 -0.67315655 -0.89723946  1.94190089 -3.02594337  0.23401321
  4.9406999   4.79863718 -1.96116108 -3.4259412 ]",[10.02303044]
8,8,"[-0.99732778 -1.05231704 -0.32178062  0.30536879  2.23377314  4.73174474
 -1.54850976  0.10686137 -2.27147945 -2.20222914]",[8.32838077]
9,9,"[-0.28030163  1.91763501  4.42042095 -0.17369417 -4.18846577  3.56037599
  3.60261473  3.69067604 -0.27925292  0.87150494]",[10.48816242]
10,10,"[-3.34369661  2.53802039 -3.91738582  2.36060524 -1.07266278  1.47662916
  1.99039708 -4.69301964 -4.19043451 -3.87437142]",[11.07367831]
11,11,"[ 0.64160166 -4.93188008 -0.90688592 -0.93648742  3.75715375  3.45316412
  0.58022477  1.43626946  4.35541503 -0.41929812]",[10.30584658]
12,12,"[-4.78580797 -4.68162556  4.15924022 -0.72903642  2.50698937  3.00823897
 -4.84979604 -3.46129132 -1.60070293  0.00818756]",[11.59701843]
13,13,"[-3.51359239 -4.58114944  3.15397304 -3.88731642 -1.48295979  3.23514471
  4.29926285 -4.06396369 -4.47201217 -0.92142499]",[11.99860363]
14,14,"[ 4.01513654  4.01197662 -1.58972458 -4.39546178  2.57539615 -0.60785242
 -2.97261079 -1.76826266  4.45441513  1.92899283]",[11.00318222]
15,15,"[ 2.85238845 -4.83898736  4.48552     2.83587524 -3.63549819  0.96113834
 -4.19604839  1.99146595  2.845021    4.70718477]",[11.58054984]
16,16,"[ 0.89193877  2.51559109  1.33431894 -4.44814594  3.01643805 -1.73469459
  0.27703591  3.06419083 -4.39908553  2.23531783]",[10.20735319]
17,17,"[ 0.84900025  1.4930669   4.03295691  0.29070448  1.39536517  2.35381097
 -4.42273551 -0.34478727 -1.21838094 -3.95814956]",[9.76971585]
18,18,"[-0.06334028 -2.32210431 -0.26766356 -4.47392974 -4.03545664 -0.9550967
  4.1256913   2.73828284 -3.61925927  4.09209418]",[10.763539]
19,19,"[-4.1287235  -4.15855662  2.6110827  -1.42322268  3.93355443  1.40732824
 -1.24664071 -2.2115777  -2.88127875  2.61415502]",[10.45675332]
20,20,"[ 3.14034848 -1.12641288 -1.50913953  3.32635293 -3.76439216 -3.57047287
  0.92897487 -2.02825864  3.93609011 -1.69685268]",[9.97523326]
21,21,"[-1.92860001  0.58081473 -2.2171695  -3.78617126 -1.61108527  4.31313109
 -4.85408217 -3.97642683 -1.70454257  4.86873272]",[11.29203902]
22,22,"[-4.12156329  0.57229009 -3.41396003  3.50028543  0.03096381 -4.3322949
  1.50683673  2.96054902 -1.99975758 -2.44702562]",[10.5405546]
23,23,"[ 0.58956729  4.81874399  1.19069602 -3.79694689 -0.13918522  4.85593633
 -2.76981121 -2.39356101 -2.74242913  0.96205362]",[10.35787309]
24,24,"[ 1.6836932  -2.94682792 -4.97806761 -2.84349473  3.73448243  1.05162309
  3.6463983  -4.34420291  4.96122159  1.62537395]",[11.45613745]
25,25,"[-3.28460451  4.49512331 -0.88445828  3.72410316  2.07502336 -1.79544879
  3.36486224 -3.29839997  2.44248406 -3.31323356]",[10.98571591]
26,26,"[-3.5400299  -3.36349738  0.07505497 -4.50444712 -3.66595224  3.21860133
 -4.5958818   2.71908529 -4.01963184 -4.59761563]",[12.34431299]
27,27,"[ 2.03095714  3.67498944  4.23009878  4.18110649  0.32283914 -2.20394393
  0.43695117 -0.92557445 -2.88486452  4.95161184]",[10.51394759]
28,28,"[ 0.28907551  2.58984665 -1.95102502 -1.97372155  1.29894659 -4.178006
  1.30118089  1.40605649 -0.98242736  4.96123346]",[9.40867991]
29,29,"[-2.29933603  1.13703845  0.8942358   4.1805557   2.65500491  2.08228642
  2.63102642  0.10674034  4.55524683 -1.83309172]",[9.64866174]
30,30,"[-2.7184966  -4.60844297 -4.3896498   4.49243537  3.53823533 -3.41494834
  2.90479485 -0.82540069 -3.37984734  0.22366984]",[11.82307259]
31,31,"[ 0.13631519 -1.56845831 -1.87983891 -1.75024413 -0.59839971 -4.59311679
 -1.23540016 -3.90804523 -1.28355839  0.96983113]",[8.87104883]
32,32,"[ 0.8111837   4.61354513  0.69673664 -2.51839906 -4.86592283  0.52516807
 -0.02688582 -0.69213709 -1.83187495 -0.57261171]",[9.47043144]
33,33,"[ 0.31478657  3.77574235  4.19914986 -4.90458414  1.92842978 -2.58822313
  0.17161163  3.69534593  4.06105171 -1.81175534]",[10.81903039]
34,34,"[-0.04996558 -4.3068267  -4.22422917 -0.59872072 -0.42628653 -2.71179836
  4.29789284  1.36900948 -2.21502059 -2.49562782]",[10.44018109]
35,35,"[ 1.32153636  3.520942    0.9958811   2.55318772  2.49295799  1.08115011
  2.42106686 -4.63476527 -2.43677145  0.52255031]",[9.98259264]
36,36,"[-2.20765831 -0.94660413  2.67895167  4.25471078 -2.76745926 -1.15422844
 -2.01585883 -0.36754822  2.01676935  1.42471343]",[8.74640075]
37,37,"[-2.13035883 -2.43319258 -4.20352718 -1.29097488 -4.36511123  1.99502733
  1.58475546  0.16100791  0.10558288  1.69688237]",[9.34901132]
38,38,"[-3.82176957 -2.92202314  4.17936875 -4.75550301 -2.13900018 -2.32809799
  1.31849257  0.88683305  2.0912106  -0.40144356]",[10.1090653]
39,39,"[-0.9568837   2.28926385  0.46893097  4.31274914 -0.59389341 -1.85650884
  4.68752176  3.72441517 -1.04859198  0.03328859]",[9.68624164]
40,40,"[ 3.83175438 -2.59229096  2.35933673 -2.92874207 -2.5751994  -1.34715347
  0.04176284  4.19579731 -4.10888796  1.73959954]",[10.37110766]
41,41,"[-4.41590435  0.72410521 -4.06935971 -4.78807349 -3.75184232 -0.27788136
  1.74391884  2.08469738  1.41882574 -3.51393223]",[11.0387156]
42,42,"[ 3.64173159 -1.46067914  3.67656784  1.96656179  3.88859222 -0.06673049
 -3.71134098 -3.59477653 -2.588735    3.18659548]",[10.88264845]
43,43,"[ 4.77087997  2.00791261  4.55865321  2.70442609  1.63772191 -0.92260735
  1.41873397 -1.98149443  0.51737225  4.50087759]",[10.70886022]
44,44,"[ 0.40670119  1.45224472  1.36611267 -0.65763725  4.12842787  4.11797626
  2.13505443  1.90325319  4.09813841  2.60833485]",[9.95721187]
45,45,"[-1.68206086 -2.23499462  2.66012132  4.66443951 -0.545613    2.51023603
  3.43176343 -0.58674999  0.86526883  1.81050536]",[9.76798042]
46,46,"[-0.18171163 -2.24277424 -3.24177208 -2.5124564  -0.14906788 -4.03131165
 -2.65152917 -0.96143107 -2.81643702  0.95248896]",[8.87511775]
47,47,"[ 1.53284352  0.62586426 -3.37765249 -3.37687312  1.25331264  1.8010241
 -0.36990984  0.22376532  4.69805575  0.31613202]",[9.41715921]
48,48,"[ 1.62873375  2.06200308  2.289717   -4.08549062 -4.70503089  4.72331854
  4.19886995 -4.87520664  1.8669268   4.00279462]",[11.74276892]
49,49,"[ 1.64437642  1.65014502  3.77335165 -3.47708254 -2.74986267  4.87888953
 -1.65411691  4.68075262 -4.22774027  0.86298971]",[11.44272323]
50,50,"[ 3.07341074  2.70335293 -2.88095731 -1.51029435  0.15873221 -4.82888829
 -0.3260737   2.87729263 -3.40948652  1.96266106]",[9.94259861]
51,51,"[-3.99696613 -1.88118006 -1.57312159  2.12481843  0.25238511 -0.29217495
 -4.26318778  4.85656225 -2.84398404 -0.44250843]",[10.07060106]
52,52,"[ 2.4695672  -3.02453357 -1.15793954 -0.14229799 -4.4845081   4.74690567
  1.16806964 -1.14642124 -4.31851548  2.72321072]",[10.5979114]
53,53,"[-0.17715663 -1.99677143 -1.98029121 -4.85914334  0.75738803  0.5161802
  2.0555601  -2.29600873  1.56779823 -0.24882412]",[8.39093505]
54,54,"[ 1.66669052 -3.26790245  4.90232235  2.29737087  2.29473844  0.19068085
 -4.97892944 -2.81076157 -4.84260131 -2.81523635]",[11.2214492]
55,55,"[ 1.38630111 -0.37776245  2.1107833  -3.61797256  3.77534544 -4.76997535
  3.87327605  2.2361211   2.16000509  4.18999938]",[10.9990583]
56,56,"[ 3.39171441 -2.05860671 -1.89157028  0.84647673  2.8762049  -0.15558468
 -4.63135295  0.0303281   0.76882336  2.20228932]",[8.80048862]
57,57,"[ 0.5438428   4.3547978   4.88051453  3.2608757   1.43141408 -4.62585012
  4.10307124 -4.5553831  -1.49399904 -2.96279285]",[12.11399705]
58,58,"[ 3.82634544 -0.84449173  3.79217341  0.16406587 -2.32384851 -0.13095533
 -3.77526108 -0.19344343 -0.40453896  3.45643354]",[9.4651658]
59,59,"[-4.42725842  4.40033638 -2.19133976 -0.82490777  0.49144634 -3.84205579
 -0.30376686  2.48210336  4.72952904  4.61459594]",[11.69468464]
60,60,"[ 3.77911128  0.07813462  3.18191575 -3.45378541 -4.96244215  3.0295692
 -0.54836928  4.47956913  0.03923466 -1.29523121]",[10.69181769]
61,61,"[ 3.05847918 -4.29840908  3.31552226 -0.1220857  -4.75905103 -3.46380753
  2.30043648  0.71399915 -4.14318184 -0.1526183 ]",[10.90028079]
62,62,"[ 0.08497286  3.69187341  4.05544289 -0.91621174 -1.97975297  3.01905329
 -2.62671077  4.18763229  1.41375947 -3.61244335]",[10.22888973]
63,63,"[-4.20836311  1.21690438 -1.10364099  0.27425818  2.19434054 -4.02532367
  3.94040348  2.25649172 -4.64898425 -3.7996097 ]",[10.67508246]
64,64,"[ 4.62455113 -2.91313667 -1.85405646 -3.3547111   0.22592421  1.4056987
 -0.67837136  4.43683047 -0.703644    4.39190256]",[10.86889135]
65,65,"[-2.37518975  1.37977357 -2.71495341  0.29316135 -3.85409201  1.96500684
  2.91056022 -2.81389259 -4.8621338  -0.38625593]",[10.02374501]
66,66,"[-0.77115457 -2.28835035 -2.33410564 -0.89354102 -2.27825959  2.46727229
 -4.51246611 -4.99018843  4.97840417 -3.29756773]",[11.2618605]
67,67,"[ 4.21413102  3.41266072  2.86001781 -4.23082719 -0.63203006  4.39617982
  3.3364611   4.3623059   1.41074778  0.6824986 ]",[11.66133524]
68,68,"[-1.61290674 -0.61628604  0.81072759  4.01599763 -1.88906531  0.49303444
 -4.70750481  4.56390901  2.98380573 -0.72841272]",[10.26204024]
69,69,"[-1.91268427 -4.98608264  0.72328655 -3.51376761 -3.8333149  -3.91095313
 -4.69486792 -2.45612846 -2.85334348 -0.19686489]",[11.16033687]
70,70,"[-2.69522605 -0.16083505 -3.60128242 -2.42947476 -2.97443221  3.00768687
 -0.90865753  3.8667391   2.85328445 -4.9926864 ]",[10.41567446]
71,71,"[ 1.43923408 -4.96659256  2.25180303  0.01619517 -4.54896748 -1.32091543
  2.41326316 -0.93223545  2.47545849  2.04628539]",[10.02367558]
72,72,"[ 0.82515857 -3.57510941 -2.02101492 -2.74111094 -1.04857761 -3.6629005
  3.12329952 -1.09493913  0.419879    0.24752102]",[8.79860239]
73,73,"[-1.74702036  2.40264084 -3.15659677 -3.5287716   2.64992302 -2.98054785
  4.6210174   3.59594367  1.5363382  -2.70077368]",[11.09014639]
74,74,"[-2.02521383 -2.76982029 -0.26591743 -2.53493834  3.17990726 -3.2843704
  0.40689064  4.3382326   3.12692002 -3.80685186]",[10.46148785]
75,75,"[-0.47891598  1.36567302 -3.61075749  2.23397092  1.08623843  4.53555239
  4.40202788 -1.84462293 -2.55155281 -2.8112509 ]",[10.60016894]
76,76,"[ 1.21429087 -0.59126951  3.15581083  2.06593142 -1.92400268  4.6359264
 -1.68933204  4.29044017  0.23697202 -2.30017654]",[9.81564817]
77,77,"[-0.12583263 -2.61446228  4.83262764  1.40994891  1.3492916  -4.42808124
 -2.31542829  2.92879171  3.16015019  0.74360715]",[10.36646159]
78,78,"[ 1.05878866  3.51104738 -1.03272174  0.24420164  0.88166006 -4.24003399
  1.51503595 -0.11922515 -2.68804807  1.25473382]",[8.48486723]
79,79,"[ 0.4902722   2.1572731  -1.74509071  3.10642452 -4.56028391 -0.37852879
 -2.70255718 -0.29270926  0.57587887 -0.66704522]",[9.01687276]
