,evals,X,fX
0,0,[-1.89433084 -2.35428953 -4.32710027  2.47118419],[10.5527104]
1,1,[ 0.92219933  3.92667574  4.26987646 -2.43210939],[10.31565332]
2,2,[-1.97544788 -1.59312274 -4.56983573  2.57433865],[10.73645307]
3,3,[ 1.09380155  4.0853706   4.95868547 -1.67970838],[9.95858104]
4,4,[-2.76696796 -2.00394933 -4.46741257  2.07085896],[10.17260112]
5,5,[ 1.02663094  3.34508259  4.9438022  -2.40063123],[10.49572809]
6,6,[-1.1397239  -1.562405   -4.79441466  2.2074669 ],[9.71881428]
7,7,[-4.4395278  -3.87626046  4.90265089  4.81035513],[13.69253283]
8,8,[-4.54185884 -4.77847239  4.86910349  3.88766057],[13.21988576]
9,9,[-4.01249237 -4.3914639   4.58262175  4.79553297],[13.39582937]
10,10,[-4.81015117 -4.86899993  3.23287039  4.52970543],[13.64480486]
11,11,[-4.41756342 -3.08291264  4.31680552  3.80764675],[12.91287192]
12,12,[-3.33493349 -4.0886727   4.65472936  4.13984383],[12.69797336]
13,13,[-1.36407624 -4.96379407  4.84441046  4.55143875],[13.03945231]
14,14,[-3.58939306 -4.0810251   4.85966188  4.97626142],[13.14264811]
15,15,[-3.44641966 -4.82450218  4.60864609  3.43610651],[13.00040558]
16,16,[-4.94903636 -4.52689312  4.9546115   4.49486452],[13.97645286]
17,17,[-4.97685955 -3.64151607  4.92678566  3.64992454],[13.14811287]
18,18,[-3.78781108 -4.89837092  4.83028283  4.06948421],[12.31572516]
19,19,[-4.99132313 -4.99658751  4.5069128   3.63377749],[13.47898635]
20,20,[-3.90747284 -4.3969127   4.39889349  4.88702556],[13.16188946]
21,21,[-3.76220289 -4.94954187  4.59724346  3.82921778],[12.74872854]
22,22,[-4.19316283 -4.83428111  4.28238357  3.41947028],[12.93131396]
23,23,[-3.70810587 -4.08420364  3.81447334  4.98525513],[12.66049632]
24,24,[-4.66839747 -4.10405724  4.73567295  4.51743449],[14.08074401]
25,25,[-4.60524539 -4.73564881  4.109907    4.64153568],[13.94055345]
26,26,[-4.2539262  -4.58833787  4.63179077  4.80904356],[13.81254672]
27,27,[-3.89276424 -4.71046386  3.92914291  4.7898613 ],[12.7283461]
28,28,[-4.54727433 -3.83676268  4.37868691  4.33586845],[13.80286069]
29,29,[-4.87662633 -2.950516    4.51191779  4.47808988],[13.80814559]
30,30,[-3.94726248 -2.84060453  4.48999751  4.97324816],[12.72845981]
31,31,[-4.6830779  -3.9583015   3.96379788  3.92809096],[12.35003476]
32,32,[-2.25734036 -3.92932858  4.88863963  4.79264522],[12.56032422]
33,33,[-4.81598895 -3.98322119  4.38751089  4.35476585],[13.69965027]
34,34,[-4.48744385 -4.29940772  4.07619626  3.41682702],[13.0979259]
35,35,[-3.91564633 -4.50693397  4.97593572  3.8621808 ],[12.21424317]
36,36,[-3.66885202 -3.42496911  4.71177683  4.97127616],[13.33906454]
37,37,[-3.21125366 -4.28634468  4.97428437  4.33954864],[13.00270539]
38,38,[-4.3577457  -4.19965326  4.79937856  4.65529774],[13.94759442]
39,39,[-3.58788752 -4.8706351   4.22713651  4.34585657],[13.34591657]
40,40,[-3.01727423 -4.88833317  4.67653267  4.36740846],[12.96000069]
41,41,[-3.71458493 -4.70535386  4.71088935  3.35333644],[12.88804113]
42,42,[-4.21078396 -4.71890236  4.72299718  4.1152443 ],[12.9353715]
43,43,[-4.2583557  -4.79049842  3.8596444   2.86845567],[11.75345362]
44,44,[-3.67751252 -3.15615348  4.95548944  4.66829555],[13.37004195]
