,evals,X,fX
0,0,"[ 1.08044748  4.88137227 -4.96884872 -3.73508819 -2.82604234  3.89691461
 -4.01157463  4.31496618  4.91700339 -4.18078879]",[12.04416312]
1,1,"[-2.01333028 -4.95506951  1.93285641  0.22080029  4.78326484 -2.81926677
  4.74488653 -1.06847007 -0.66855351  0.86582711]",[10.06557196]
2,2,"[-2.05424344 -4.91354945  0.79754455 -2.7101682   1.08269138 -2.54506451
  1.99137238 -4.21811149 -1.58255629  1.67638416]",[9.80565299]
3,3,"[ 0.37148961 -2.53203746 -1.45440556  0.69102125  1.80691731 -1.9902805
  4.16977213 -2.43557268 -0.92446311  3.10019327]",[8.97643038]
4,4,"[-2.33739638 -2.41810816  4.03538066  2.5513566   4.65686714  0.05076769
  1.48340414  0.95031351 -1.71084714  0.58036652]",[9.76300915]
5,5,"[-0.13053844 -2.51958781  0.97327108  0.01109765  2.14825591 -3.18830523
  0.94148534  2.79001723 -1.3764271  -1.8231641 ]",[7.6049511]
6,6,"[-1.49632788 -3.95799902  1.16168634  3.48777533  1.74548706 -0.70102209
  1.35779163  0.81934316  2.57346022  2.01806691]",[8.91382096]
7,7,"[ 0.26666524 -3.18462981 -1.55951217 -1.25225814  2.15919627 -0.56114952
  3.50418895 -0.25242566  1.67062086  3.66861723]",[9.06191775]
8,8,"[-4.93673903 -2.15353346 -1.28657473 -2.03345822  1.55053561 -2.30068252
  3.46289501 -0.77863726 -4.55003109 -3.07610757]",[10.55261496]
9,9,"[ 0.17552893 -1.0640839   2.6905719   3.62447962  2.4916176   0.24534094
  4.55085145 -4.11922536  1.99630648 -2.10580286]",[10.0126189]
10,10,"[-2.12114869 -4.12700759  3.75006294 -1.10198648  1.33618075 -0.58352816
  4.20514661 -2.72407184 -3.33256342 -0.55323174]",[10.21893539]
11,11,"[-1.08124909 -4.42988897  2.97102357  0.13222964  1.03055877 -4.22062852
  4.13510499 -2.12431672 -1.80512844  2.2960993 ]",[9.78016882]
12,12,"[-0.51770648 -1.38748951 -0.12426191 -1.12800479  3.57294202 -1.42746382
  0.06985653  1.60429615 -3.24116886 -1.77522838]",[8.09188011]
