,seed,function,model,max_evals,batch_size,n_init,datapath,compute_time,function_sign,is_model_maximising
0,0,Levy_10,hesbo,1000,10,5,data/Levy_10/sweep_results/0_Levy_10_hesbo_1000_10_5.csv,496.0537278652191,-1,True
1,1,Levy_10,hesbo,1000,10,5,data/Levy_10/sweep_results/1_Levy_10_hesbo_1000_10_5.csv,492.4017028808594,-1,True
2,2,Levy_10,hesbo,1000,10,5,data/Levy_10/sweep_results/2_Levy_10_hesbo_1000_10_5.csv,492.9121034145355,-1,True
3,3,Levy_10,hesbo,1000,10,5,data/Levy_10/sweep_results/3_Levy_10_hesbo_1000_10_5.csv,492.79486441612244,-1,True
4,4,Levy_10,hesbo,1000,10,5,data/Levy_10/sweep_results/4_Levy_10_hesbo_1000_10_5.csv,492.48163771629333,-1,True
5,0,Levy_10,turbo1,1000,10,5,data/Levy_10/sweep_results/0_Levy_10_turbo1_1000_10_5.csv,44.44218921661377,1,False
6,1,Levy_10,turbo1,1000,10,5,data/Levy_10/sweep_results/1_Levy_10_turbo1_1000_10_5.csv,40.34692072868347,1,False
7,2,Levy_10,turbo1,1000,10,5,data/Levy_10/sweep_results/2_Levy_10_turbo1_1000_10_5.csv,46.326199531555176,1,False
8,3,Levy_10,turbo1,1000,10,5,data/Levy_10/sweep_results/3_Levy_10_turbo1_1000_10_5.csv,48.570375204086304,1,False
9,4,Levy_10,turbo1,1000,10,5,data/Levy_10/sweep_results/4_Levy_10_turbo1_1000_10_5.csv,40.87686014175415,1,False
10,0,Levy_10,turboM,1000,10,5,data/Levy_10/sweep_results/0_Levy_10_turboM_1000_10_5.csv,248.0030620098114,1,False
11,1,Levy_10,turboM,1000,10,5,data/Levy_10/sweep_results/1_Levy_10_turboM_1000_10_5.csv,236.28193926811218,1,False
12,2,Levy_10,turboM,1000,10,5,data/Levy_10/sweep_results/2_Levy_10_turboM_1000_10_5.csv,230.58391046524048,1,False
13,3,Levy_10,turboM,1000,10,5,data/Levy_10/sweep_results/3_Levy_10_turboM_1000_10_5.csv,232.6754767894745,1,False
14,4,Levy_10,turboM,1000,10,5,data/Levy_10/sweep_results/4_Levy_10_turboM_1000_10_5.csv,238.71043300628662,1,False
