,evals,X,fX
0,0,"[ 7.34420585 -1.71809592  1.68829751  9.7274707  -2.12418861  0.93793779
 -1.0332881  -0.73966579  1.94197479 -4.46722956]",[69.50406841]
1,1,"[-4.34653025  2.65163798  8.74464884  0.83617563  9.02509111  9.83963757
  8.49368923  5.96109522  8.35396882  3.38705819]",[154.08535679]
2,2,"[-3.39048453  8.56727539 -0.84400756  4.75478468  6.64888362 -3.19417462
  4.57633502 -4.04982462  7.28957628 -2.87744226]",[-55.87074898]
3,3,"[ 6.79325499  6.55979624  7.87388562  2.51660185 -4.79585984  5.03141674
  4.69474892  0.73163353 -4.58267986  5.6170697 ]",[-43.63319179]
4,4,"[ 1.71399848  1.93553987  2.91272256  3.03827044 -1.37656327  2.9453879
 -3.11265     5.32863303  6.52503241  6.63850209]",[-42.70159968]
5,5,"[ 2.85303252 -2.10654127 -2.13162459  5.59264293  3.89413356  5.58386697
 -0.8935358   9.15757175  2.8108353  -0.37201234]",[-83.42235832]
6,6,"[-0.06743087  9.59844788 -4.43397827  0.76508527  5.97936993 -2.50422589
 -3.51243159 -4.4991037  -2.47690899  3.66682059]",[-94.38725319]
7,7,"[ 5.65662269  2.37611404 -0.07408958  3.44547456  5.10923903  1.32493593
  2.68766149  4.0044664   9.8831301   7.49327758]",[-70.67376104]
8,8,"[ 8.1289167  -1.93563466  0.59332579  2.04823002 -2.81967211 -3.01082626
 -0.72374815  6.56547765 -3.56533848  5.34496022]",[-44.091493]
9,9,"[-4.77424439 -0.36638971  5.93833669  5.33175465  5.96835468  4.85135434
  2.49031256 -1.18379726  8.28962941  8.02711699]",[-70.36507191]
10,10,"[ 9.93737569  9.50704022 -3.38636185 -2.43494031  2.46649119 -0.80928828
 -1.56468457 -2.35754852  8.85366078  6.07106149]",[-105.87288081]
11,11,"[ 4.28151889 -0.17676979 -0.32117772  5.96471711  6.67803016  9.21439241
 -0.62204189 -0.27555576 -2.55642805  8.89579388]",[-82.38138417]
12,12,"[ 2.95539532 -1.76389439 -3.23941339  4.89849351  9.10925517 -0.43869421
  7.6462299  -1.66320647 -1.69273615 -1.01890745]",[-67.12460424]
13,13,"[ 6.3871189   4.81129723  3.38267456  3.29871851  4.95139147 -2.00726933
 -3.29306625  3.21745862  5.90188978  4.66080937]",[-46.44331796]
14,14,"[ 5.08817191 -4.34949461  8.73807631  6.60151588 -0.85958765 -4.20190374
 -1.09068092 -1.31455234  5.30526949  0.41674066]",[-55.6385738]
15,15,"[ 0.53394161  5.40102636 -3.67084478 -1.32664983  1.3709979   6.68078214
 -1.87997607  1.77181804  8.33380563  3.68598503]",[-48.82723142]
16,16,"[ 4.71044008  6.58859044  9.31772359  1.86457504 -2.77788852  1.75795608
 -2.87103601  0.0250734  -0.61407504  1.46570153]",[-75.27653694]
17,17,"[ 8.01038869  4.14135319 -3.84470473 -1.26917964 -0.10426185  4.619523
  2.13573446  6.89338402 -4.16038952 -3.41400895]",[-25.52468759]
