,evals,X,fX
0,0,"[ 1.6655055   9.30247351 -3.26807579 -1.49653007 -0.89758589 -0.59397925
  5.96279855  9.37926923  8.98918538 -0.16091092]",[147.47707437]
1,1,"[ 9.97255599 -1.64154561  7.44569435  9.5568431   8.52857763 -4.34819022
  9.97979888  1.94589244 -4.22380049  6.42752586]",[134.10914787]
2,2,"[-0.93897386 -3.59647252  4.82251978  6.39460116 -2.55758476  3.84427127
 -2.53134608 -3.45458264  1.66299446 -2.76010578]",[51.44264249]
3,3,"[ 5.29461331  3.66491125  0.82357991 -3.49096324  3.10612612  9.11962602
  2.44306527  0.8809412  -0.72193242  1.96862264]",[45.09147967]
4,4,"[-2.71421001  6.79788569  3.13365173  2.55229229  6.65341479  5.66090152
 -0.27907251  5.18179988  6.77964025  7.01663326]",[65.6491487]
5,5,"[ 5.83789063  1.08896445  8.10040816 -4.67516941 -3.82193603  7.8412632
  0.86685808  7.46227648 -4.93113282  1.63751289]",[27.82003703]
6,6,"[ 7.19510951  3.40585978 -3.54650506 -0.39317215 -0.22917372  8.54729379
  0.57837129 -1.16552064 -4.45068082  2.47366831]",[27.25290921]
7,7,"[-3.14194559 -4.19831074  8.11642045 -2.62419732  9.19896018  9.88039573
  0.38181868 -1.0730469  -1.82951924  0.06462619]",[115.43093343]
8,8,"[-2.91515941 -4.22044869 -1.81372833 -0.56867254 -1.15164551  9.03208971
  2.58959738  5.81875926  1.95744995 -4.38635115]",[62.40859603]
9,9,"[ 7.61135736  9.91949575  4.99422687  2.43088849 -4.17942265  7.71779368
  0.43079821  6.03424812 -3.10466317  6.6731301 ]",[94.79866059]
10,10,"[-2.00153511  8.88023645  7.33171747 -1.48056151  8.52382471  9.76490139
  1.12970502  5.29676778 -3.86639332 -0.64761341]",[119.23231723]
11,11,"[-3.15185816  6.99986999 -0.12367135 -4.22091451  7.13777374  9.15724165
  1.22427584  6.22880437 -4.72720825  5.77562451]",[79.19938328]
12,12,"[ 6.28727613  9.97930733 -3.10708426 -0.52276918  0.88390376  9.38910631
  0.71646426  2.39802433 -0.63255577 -4.94142679]",[111.03239287]
13,13,"[ 6.2525144  -3.40689005 -0.07429957  2.89653011 -0.33800552  8.27594989
  0.65882444  0.30642857 -2.83892666  6.83316857]",[27.88785117]
14,14,"[ 7.2886789  -3.13196614  4.10339618  3.82921813 -3.51019867  7.49407331
  1.11396527 -0.32934926  0.46348103  7.8358677 ]",[24.83783669]
15,15,"[ 3.04417637 -4.17040342 -4.31225813  9.47818965 -3.96933043  6.27142898
 -4.35951551 -0.51547965  8.9805274   4.36937626]",[105.6934646]
16,16,"[ 4.22893307 -0.84306023 -4.3352751   2.06780806 -1.47647293  6.67607416
 -2.26471704  1.76732278  5.61629142  1.07037341]",[41.55573367]
17,17,"[ 9.61541041 -1.99301188  3.26248232  0.12448281 -2.79855655  7.68806041
  5.28679278 -0.57561117 -4.73127809  9.00103771]",[38.37471022]
18,18,"[ 3.82693925 -0.77747139 -0.27753252 -4.962813   -3.50921122  7.39973241
 -0.05013227 -4.49577738 -3.53736996  7.12922874]",[29.00873458]
19,19,"[ 2.72821729 -1.80897622 -2.33967595 -2.62654275 -0.44920646  7.16013114
 -3.95285836  7.89608579  9.35465684  1.83045063]",[79.17793502]
20,20,"[ 5.85376597 -0.86209172  9.78855088  0.84876731 -3.71159246  7.09132106
  6.62150615 -3.24960331  8.59737054  6.63558947]",[106.60888497]
21,21,"[ 7.69073963 -3.57379594  1.38239872 -4.49286602 -0.18288169  6.7689429
 -2.67903261 -2.729522   -0.31000322  2.61354321]",[37.3160355]
22,22,"[ 8.94822924 -4.97758694 -2.72382571  5.3499338  -4.77543419  6.25740836
  1.95458452  8.01761328  8.47309105  2.67113964]",[69.88328513]
23,23,"[ 9.14131368 -1.05374248  1.09970302 -1.51351206  0.23125119  6.26626646
  0.07950538 -0.18424972 -4.57271808  9.32901415]",[29.05307781]
24,24,"[ 2.45140801 -1.62351707 -3.89980811  9.83639151 -4.44874031  8.25679131
 -2.59463614  3.18581347 -3.37778723  4.95255234]",[87.86038953]
25,25,"[ 8.23156611 -4.53015302  7.5142735   4.59034482 -4.87877103  6.79468149
  1.91472563 -3.6500439  -2.28667724  9.59041607]",[48.41814986]
26,26,"[ 9.74224566 -2.324903    0.86083811  1.84141528 -4.84702956  6.60776606
  1.42496248 -3.48384602 -0.82763566  5.64573931]",[36.7109654]
27,27,"[ 2.68601857 -2.26233067  6.13901234  1.12970713 -3.67783668  3.52961421
  1.76100455 -4.86134448 -2.20264286  5.43235642]",[44.94737255]
28,28,"[ 7.82603402 -2.74869142  8.2392396   0.47484482 -1.90323396  5.77400503
  0.9719182   4.44028236 -2.72782538  7.11382863]",[52.24356997]
29,29,"[ 2.61253828 -1.76684693  2.17379728  6.68443573 -3.46211891  8.34860237
  1.96718416 -1.91326643 -1.56664588  5.6134219 ]",[47.20001226]
30,30,"[ 9.26790481 -1.58985333  4.7937579   2.99907493 -4.0245083   3.4623826
  0.57336163  0.26974332 -2.80398     5.66342463]",[24.10497158]
