,evals,X,fX
0,0,[-9.70123789  5.90862817  0.23981882 -7.21512717],[-355.4468512]
1,1,[ 6.76254902 -5.43166776 -3.50855952  5.58854088],[-135.75894098]
2,2,[-6.5757531  -9.36943127  9.75891617  8.25840886],[-280.60109111]
3,3,[ 8.93533995  5.33927083  6.72432124 -8.80838664],[-176.08421134]
4,4,[-5.08201808  9.24980742 -9.49748712  9.2362638 ],[-206.03916665]
5,5,[7.70187059 9.59670594 6.92362594 9.63657844],[-253.91311599]
6,6,[-7.62155478 -9.60733782 -8.80870359 -9.20791748],[-251.56981452]
7,7,[-7.77255451 -9.25823118  9.72674552 -9.96569454],[-249.05817948]
8,8,[ 7.58315395  9.90331371 -8.88011245 -5.67955158],[-258.29620862]
9,9,[-9.39711009 -8.41576588 -6.92186428  8.70328886],[-247.78053903]
10,10,[-9.0875912   7.10102448  8.99318941  8.76871219],[-221.83509597]
11,11,[ 7.60360424 -8.73720027 -2.03194275 -9.9783907 ],[-173.67756359]
12,12,[ 9.36166299  6.77659007 -9.57150211  9.90628104],[-330.71590379]
13,13,[ 9.72220839 -3.89119859  9.54129674  2.16737165],[-230.20747996]
14,14,[-2.00895901  2.22278021  9.97203547 -1.99382313],[-40.31764865]
15,15,[-3.76384279  0.88167931 -8.64618537 -1.94533777],[-18.37572401]
16,16,[-3.1426316  -9.86104736  1.51719345 -1.05300921],[-205.92507632]
17,17,[-2.27324515  1.94095187  0.43686612  6.93927326],[-49.21136141]
18,18,[ 5.33271602 -9.63046477  9.6027435  -6.9250386 ],[-251.49276503]
19,19,[ 2.15343969  9.87524265  0.5406217  -2.28738651],[-219.87710799]
20,20,[ 1.96994429  0.73727372 -3.29889599 -9.50947874],[-70.25322352]
21,21,[ 2.79372864 -9.79383847 -9.59591595 -3.63773143],[-193.46462242]
22,22,[ 8.40986629  9.88496251 -9.33743086 -9.71791051],[-321.2956927]
23,23,[-9.19412211 -9.49759868  9.37554189 -7.8519996 ],[-310.36974752]
24,24,[ 7.75914063 -9.31976477 -9.5001201   8.73929781],[-179.6614583]
25,25,[ 9.99427635 -9.17486866 -9.44711942  8.82672278],[-383.33568429]
26,26,[-9.33687224  9.95764443  8.83213016 -9.42893016],[-439.80248324]
27,27,[ 9.62108891 -8.85454113 -8.68399605  6.98968312],[-297.7830373]
28,28,[-6.61205287 -9.64173242 -9.59268745  9.81385784],[-357.05768543]
29,29,[ 8.75959278  8.22859533  8.03089203 -9.19991422],[-144.13650092]
30,30,[ 7.83905061  8.91130223  9.09335809 -7.35028898],[-117.19757694]
31,31,[ 9.0914415   7.95841898  7.36347415 -9.271837  ],[-200.78916295]
32,32,[ 9.42267926  7.98747266  9.81338714 -7.2662149 ],[-236.28025802]
33,33,[ 8.89005889  9.71676069  5.69232977 -9.08924154],[-322.65334514]
34,34,[ 9.4550833   9.95453429  9.25111845 -7.45568218],[-426.57233002]
35,35,[ 9.51512346 -9.84533901 -4.1857372   8.82927074],[-412.58237725]
36,36,[-8.89383701  7.46713415  8.13531332 -9.69180588],[-204.77586101]
37,37,[-6.98734563  9.20842053  7.20689332 -9.79571535],[-297.54963302]
38,38,[-9.82602141  5.8729824   8.16216412 -8.62073822],[-359.7993347]
39,39,[ 6.94435633 -9.83554316 -8.48978297 -9.42246306],[-295.9598885]
