,seed,function,model,max_evals,batch_size,n_init,datapath,compute_time,function_sign,is_model_maximising
0,0,RoverControl,hesbo,100,10,2,data/RoverControl/sweep_results/0_RoverControl_hesbo_100_10_2.csv,33.83199906349182,1,True
1,1,RoverControl,hesbo,100,10,2,data/RoverControl/sweep_results/1_RoverControl_hesbo_100_10_2.csv,34.04902458190918,1,True
2,2,RoverControl,hesbo,100,10,2,data/RoverControl/sweep_results/2_RoverControl_hesbo_100_10_2.csv,34.31999349594116,1,True
3,3,RoverControl,hesbo,100,10,2,data/RoverControl/sweep_results/3_RoverControl_hesbo_100_10_2.csv,34.411996603012085,1,True
4,4,RoverControl,hesbo,100,10,2,data/RoverControl/sweep_results/4_RoverControl_hesbo_100_10_2.csv,34.25599694252014,1,True
5,0,RoverControl,turbo1,100,10,2,data/RoverControl/sweep_results/0_RoverControl_turbo1_100_10_2.csv,22.101999044418335,-1,False
6,1,RoverControl,turbo1,100,10,2,data/RoverControl/sweep_results/1_RoverControl_turbo1_100_10_2.csv,21.797999382019043,-1,False
7,2,RoverControl,turbo1,100,10,2,data/RoverControl/sweep_results/2_RoverControl_turbo1_100_10_2.csv,21.811994314193726,-1,False
8,3,RoverControl,turbo1,100,10,2,data/RoverControl/sweep_results/3_RoverControl_turbo1_100_10_2.csv,21.758000135421753,-1,False
9,4,RoverControl,turbo1,100,10,2,data/RoverControl/sweep_results/4_RoverControl_turbo1_100_10_2.csv,21.823996782302856,-1,False
10,0,RoverControl,turboM,100,10,2,data/RoverControl/sweep_results/0_RoverControl_turboM_100_10_2.csv,233.6139976978302,-1,False
11,1,RoverControl,turboM,100,10,2,data/RoverControl/sweep_results/1_RoverControl_turboM_100_10_2.csv,231.47999787330627,-1,False
12,2,RoverControl,turboM,100,10,2,data/RoverControl/sweep_results/2_RoverControl_turboM_100_10_2.csv,256.70683193206787,-1,False
13,3,RoverControl,turboM,100,10,2,data/RoverControl/sweep_results/3_RoverControl_turboM_100_10_2.csv,346.62524676322937,-1,False
14,4,RoverControl,turboM,100,10,2,data/RoverControl/sweep_results/4_RoverControl_turboM_100_10_2.csv,344.3995077610016,-1,False
15,0,RoverControl,gp,100,10,2,data/RoverControl/sweep_results/0_RoverControl_gp_100_10_2.csv,6798.898890733719,1,True
16,1,RoverControl,gp,100,10,2,data/RoverControl/sweep_results/1_RoverControl_gp_100_10_2.csv,1219.2201218605042,1,True
17,2,RoverControl,gp,100,10,2,data/RoverControl/sweep_results/2_RoverControl_gp_100_10_2.csv,1321.1343400478363,1,True
18,3,RoverControl,gp,100,10,2,data/RoverControl/sweep_results/3_RoverControl_gp_100_10_2.csv,1117.3963170051575,1,True
19,4,RoverControl,gp,100,10,2,data/RoverControl/sweep_results/4_RoverControl_gp_100_10_2.csv,1773.4721298217773,1,True
