,evals,X,fX
0,0,"[0.29653276 0.83582705 0.70589394 0.09877545 0.14481482 0.07106007
 0.39165724 0.20626942 0.51708566 0.81201499 0.33031787 0.64924765
 0.22306725 0.11106227 0.53668209 0.73461926 0.04808613 0.95168508
 0.55974523 0.76239969 0.0418115  0.95843067 0.95522419 0.14946506
 0.79219456 0.78295601 0.80696916 0.47826783 0.63048949 0.61550771
 0.76672425 0.47496907 0.2465298  0.27030025 0.38274255 0.02267286
 0.56998306 0.89620179 0.51490068 0.44156274 0.27039409 0.22399009
 0.44606794 0.18879217 0.26921235 0.82614944 0.18063051 0.28550428
 0.81891824 0.56315744 0.34510229 0.8238747  0.67696954 0.38161653
 0.17826586 0.37639418 0.94067091 0.0058346  0.74905453 0.53689601]",[7.84592647]
1,1,"[0.89347574 0.03203366 0.17765518 0.97091847 0.68990164 0.88146004
 0.8857975  0.65068025 0.38636957 0.07646491 0.78931697 0.004504
 0.85452126 0.7353204  0.38229629 0.23369634 0.63450053 0.41584629
 0.27566247 0.03504075 0.73623752 0.37138242 0.09597804 0.73215575
 0.1151814  0.25412377 0.10428416 0.52465212 0.25943094 0.08613918
 0.19815664 0.55368265 0.75490514 0.55106762 0.64435892 0.61587923
 0.48383396 0.13915942 0.11681126 0.54577822 0.78503333 0.70896327
 0.68392162 0.90649749 0.64488    0.3586958  0.80647405 0.71345491
 0.37593648 0.21390632 0.7141912  0.18095222 0.07666924 0.96859516
 0.95820494 0.89097923 0.30816447 0.51799972 0.32716189 0.0648848 ]",[16.74364721]
2,2,"[0.9985099  0.73674995 0.84903863 0.03266527 0.46428626 0.85770011
 0.02178667 0.45108408 0.00121943 0.06043402 0.37959738 0.24788415
 0.52602829 0.69646483 0.53807815 0.61513047 0.49348465 0.50441199
 0.40023213 0.81516919 0.52562622 0.09471576 0.5758829  0.40456064
 0.25595023 0.04890835 0.38478313 0.18384041 0.06767477 0.11170866
 0.0091321  0.71546702 0.11638784 0.36330946 0.30038338 0.27747829
 0.52321419 0.52023908 0.4875465  0.2809314  0.17932578 0.32324507
 0.61726122 0.86419767 0.68809248 0.41110972 0.07055618 0.83302773
 0.13229154 0.8173879  0.21537081 0.19310055 0.32702744 0.86968317
 0.65379758 0.53138658 0.83520514 0.92429227 0.4523825  0.10125715]",[-16.27099398]
3,3,"[0.44060414 0.51210338 0.40712    0.67967578 0.84121601 0.53469342
 0.41071487 0.01377118 0.04949421 0.99645281 0.03235002 0.49647333
 0.94351281 0.05979897 0.24965276 0.11380941 0.27175909 0.13902994
 0.09549662 0.7766019  0.22684691 0.27839343 0.38178261 0.8958858
 0.58697402 0.57287264 0.9493922  0.5955602  0.38377298 0.31547664
 0.08575352 0.3696306  0.66348666 0.38245251 0.83514025 0.12904735
 0.07371325 0.52145633 0.31375864 0.3736617  0.12736322 0.60445291
 0.81738244 0.13133245 0.06977623 0.64485603 0.77339511 0.55949222
 0.80297471 0.52268116 0.94884277 0.84064787 0.0535699  0.79320858
 0.71114538 0.83904184 0.66920588 0.19635792 0.14766486 0.61366754]",[-13.38056999]
4,4,"[0.30041359 0.40764722 0.40339511 0.90754571 0.59187642 0.00116629
 0.82844186 0.77265866 0.70269429 0.68220012 0.04299008 0.92181447
 0.59365831 0.69383837 0.56002154 0.05485348 0.70633943 0.17664915
 0.54880986 0.07729719 0.80631777 0.24348924 0.62505941 0.22938758
 0.02214144 0.44927618 0.75032793 0.83435373 0.27300942 0.25650065
 0.99881667 0.91670903 0.57624633 0.51906595 0.3084321  0.59038667
 0.41254736 0.51900114 0.28094711 0.34675606 0.32324526 0.42153059
 0.75949036 0.43796624 0.87839363 0.75032472 0.83593501 0.93852119
 0.3873864  0.92122328 0.69353756 0.44745148 0.43959775 0.89853398
 0.48434863 0.08086892 0.1642184  0.07772176 0.49163367 0.02872039]",[-17.69586751]
5,5,"[0.50424788 0.43197583 0.91694062 0.99391252 0.93824854 0.46347631
 0.16459425 0.23672603 0.86168293 0.66599884 0.28313189 0.09724349
 0.62825982 0.01732062 0.07696069 0.21532621 0.40203289 0.76563186
 0.14089614 0.66933172 0.51838775 0.89214034 0.81205266 0.3402074
 0.16131164 0.75332276 0.06377171 0.82276868 0.34185165 0.37760206
 0.42893713 0.80702596 0.50823835 0.64396005 0.19009141 0.58372969
 0.74655922 0.28913308 0.57358389 0.2307377  0.17410657 0.64392807
 0.8429416  0.18590378 0.22633457 0.21922988 0.83757442 0.81676843
 0.27470792 0.55871098 0.14847885 0.64479856 0.63175174 0.55597847
 0.98545425 0.3700276  0.71352517 0.26122303 0.54765182 0.79429134]",[-12.24256377]
6,6,"[0.74481435 0.54237856 0.28271188 0.60982541 0.04623875 0.61038776
 0.27263711 0.79482473 0.12790791 0.87831777 0.49597014 0.4679656
 0.26672418 0.72971897 0.75958268 0.04132718 0.36050193 0.56537542
 0.75106934 0.20163553 0.48623045 0.57154374 0.49013476 0.56998451
 0.73926125 0.31319771 0.54380863 0.62010188 0.04516561 0.06422417
 0.00380989 0.40193481 0.50916791 0.71808419 0.5810511  0.50315885
 0.09041315 0.24472411 0.0872003  0.16977698 0.73649795 0.3008016
 0.62409718 0.3624614  0.20137563 0.50062372 0.75949415 0.66156599
 0.30287607 0.69971548 0.40279265 0.91562875 0.85851389 0.89595412
 0.33543592 0.75525349 0.78683322 0.60029749 0.88656741 0.57125887]",[-6.38258572]
7,7,"[0.22300461 0.67614383 0.04675111 0.37907445 0.1535562  0.54668639
 0.96556832 0.37491709 0.82970172 0.39691673 0.61877666 0.07809262
 0.72511327 0.69669273 0.35500996 0.90591675 0.62905103 0.64399877
 0.02293596 0.3301753  0.65840998 0.52197648 0.65725859 0.66490572
 0.09758293 0.26981033 0.30699237 0.7004973  0.05451381 0.92901507
 0.00374526 0.92158676 0.20286028 0.63783961 0.5504531  0.83421469
 0.51076073 0.88533384 0.30184128 0.4472519  0.70352963 0.62757225
 0.22042729 0.78510761 0.94284779 0.96968368 0.60289768 0.29537042
 0.50391206 0.02060572 0.30239079 0.13663466 0.92271359 0.73570438
 0.37064289 0.13697865 0.89385156 0.6205797  0.67382768 0.16037198]",[-9.31024877]
8,8,"[0.42889731 0.20969911 0.33438885 0.29623902 0.34385069 0.34509239
 0.7465172  0.89166662 0.45529478 0.04575027 0.52105107 0.08510572
 0.92533092 0.54351012 0.19675138 0.10101391 0.87717264 0.82797582
 0.02459667 0.37705099 0.3196674  0.69132209 0.13419545 0.59650156
 0.22374529 0.74620269 0.06826405 0.43175308 0.49667323 0.08849311
 0.92040275 0.04448247 0.64561718 0.51480736 0.08128367 0.53997637
 0.84926122 0.49334806 0.56483149 0.24151268 0.31043364 0.30463826
 0.9602517  0.61496785 0.2312979  0.43499983 0.25092699 0.54116272
 0.3365325  0.02965747 0.9719158  0.08781917 0.36904906 0.71124696
 0.51423811 0.59345203 0.42912711 0.71655493 0.50396073 0.29156668]",[-13.43007049]
9,9,"[0.42695352 0.92250783 0.51246042 0.85076678 0.70774329 0.04539332
 0.3186211  0.06546774 0.46142372 0.73460248 0.31037351 0.63012896
 0.75881537 0.23454016 0.24800028 0.64411741 0.37020983 0.28149482
 0.35672087 0.61243626 0.93382199 0.28236748 0.25621523 0.02089077
 0.58255923 0.07315333 0.82189887 0.50824834 0.67289506 0.01621299
 0.00796687 0.43407514 0.00617582 0.83579151 0.91172341 0.07106719
 0.2804153  0.30132408 0.56262529 0.18050538 0.39905832 0.36497552
 0.23669967 0.15493213 0.98001705 0.61741544 0.35236029 0.20220025
 0.43452521 0.58389637 0.1177712  0.81899121 0.00140601 0.30748038
 0.42018805 0.67298273 0.43564917 0.80375032 0.35673101 0.67748721]",[-17.09744915]
10,10,"[0.6581012  0.20869795 0.16236088 0.09304174 0.20178419 0.85688628
 0.91310491 0.6266612  0.13632068 0.15638011 0.17345887 0.01007638
 0.98137621 0.22951151 0.26674725 0.65836283 0.47655123 0.92589598
 0.24385659 0.18447989 0.81884323 0.30815728 0.72699763 0.85135806
 0.88359222 0.33529716 0.35821869 0.43874735 0.76762827 0.42710502
 0.41595162 0.82329529 0.93488252 0.2532412  0.71271578 0.85702468
 0.77039916 0.64375826 0.75048154 0.2758443  0.22195697 0.30063484
 0.03105259 0.41964456 0.11631033 0.68481799 0.33907824 0.3312573
 0.61573352 0.67581013 0.28082049 0.34139546 0.09835813 0.28331306
 0.43302001 0.82253187 0.3861176  0.35972139 0.09024268 0.61707083]",[-13.70842821]
11,11,"[0.78720589 0.0182537  0.9079402  0.10855832 0.85193342 0.92565273
 0.37590402 0.08990419 0.22344814 0.58790859 0.41342917 0.20548899
 0.75056265 0.29724888 0.77597069 0.57692405 0.99994361 0.49182564
 0.86251595 0.72959503 0.62830835 0.62537335 0.74829999 0.1043425
 0.87050522 0.26017874 0.29714511 0.96336921 0.40177459 0.25402496
 0.80130274 0.33902674 0.30701784 0.04873224 0.19421465 0.06254014
 0.76505416 0.96332339 0.96999977 0.21238822 0.58497886 0.60199848
 0.20074153 0.50921353 0.26687116 0.17195778 0.7319707  0.03817287
 0.3300487  0.03200172 0.37625066 0.12500463 0.1222441  0.81407232
 0.37854111 0.80290587 0.9913054  0.5562401  0.41679661 0.64837918]",[-12.24180727]
12,12,"[0.20986503 0.81620501 0.52072025 0.53733703 0.42768948 0.16246894
 0.95710914 0.29109305 0.14856768 0.4491103  0.91568912 0.13905376
 0.47089593 0.96000042 0.07797025 0.75953378 0.66198974 0.36325504
 0.97601452 0.44777256 0.02829149 0.52025699 0.9292409  0.79187161
 0.08409607 0.71850715 0.19089682 0.79965725 0.71481787 0.9885212
 0.99189105 0.15344048 0.41115905 0.83455124 0.38680912 0.28605937
 0.51485067 0.18430145 0.07619109 0.09984861 0.20676778 0.83297192
 0.86519232 0.02225984 0.61216321 0.87678279 0.65673774 0.11066635
 0.05267092 0.97149785 0.37408051 0.36152235 0.41098002 0.1295833
 0.53622217 0.981616   0.9674867  0.26375398 0.10325376 0.36632896]",[-15.52505585]
13,13,"[0.53609103 0.73246494 0.76089489 0.13023713 0.69980154 0.75079716
 0.71115408 0.53279059 0.08240094 0.20000801 0.33895458 0.21920878
 0.92885451 0.3573632  0.74449838 0.12577813 0.42788455 0.89807142
 0.95258221 0.28897276 0.3639973  0.60655018 0.63909074 0.55680759
 0.21822182 0.89384257 0.49278728 0.35835095 0.77312808 0.22621105
 0.1899178  0.60582082 0.83592251 0.97940964 0.91591821 0.41231291
 0.50943495 0.22337087 0.6810003  0.64950501 0.45510837 0.14788342
 0.0271003  0.03788791 0.07541727 0.70893741 0.03209775 0.94181823
 0.49680341 0.2541511  0.26192562 0.95434271 0.54189219 0.58959387
 0.94685912 0.26503364 0.73539982 0.08839023 0.30734567 0.31028915]",[-14.25376094]
