,evals,X,fX
0,0,[-0.46655151 -0.05006186 -0.50694041 -0.45939949],[6.59867063]
1,1,[0.7654851  0.04534573 0.13996612 0.79240359],[-2.60793393]
2,2,[-0.56312188 -0.10323217 -0.47703022 -0.46456907],[7.77620954]
3,3,[-0.5043606  -0.18462334 -0.37032753 -0.38167154],[1.49359677]
4,4,[-0.60598098  0.03672558 -0.54437145 -0.59070059],[14.25262337]
5,5,[-0.63627053  0.15525132 -0.55363924 -0.484877  ],[13.34872387]
6,6,[-0.64831315  0.02419086 -0.62821013 -0.59460059],[16.2750868]
7,7,[-0.97635454  0.14735357 -0.61481914 -0.80798428],[36.11110814]
8,8,[-0.90587744  0.55887391 -0.82313183 -0.87641825],[114.26183744]
9,9,[-0.95806062  0.92315474 -0.52983596 -0.92979541],[175.89665714]
10,10,[-0.85738285  0.96281003 -0.36896748 -0.80105687],[125.37868122]
11,11,[-0.54783531  0.86538134 -0.60980538 -0.95663485],[75.1763313]
12,12,[-0.95920142  0.9324448  -0.61238674 -0.750878  ],[161.31951278]
13,13,[-0.87622586  0.98297741 -0.85186311  0.85989304],[215.74651717]
14,14,[-0.94310163  0.61632178 -0.36061504  0.96790448],[91.34113849]
15,15,[-0.61882096  0.98716309 -0.99751279  0.42547789],[110.223717]
16,16,[-0.92128328  0.71707975 -0.99113018  0.89447983],[185.03233383]
17,17,[-0.4484569   0.716752   -0.79955457  0.95453792],[69.89217545]
18,18,[-0.91990689  0.96566067 -0.589858    0.44572223],[115.35529004]
19,19,[ 0.98546822 -0.87165186  0.77932114 -0.64974135],[104.88357571]
20,20,[ 0.99753795  0.15723187  0.99627501 -0.91598477],[117.1125808]
21,21,[ 0.25329766 -0.4626115   0.96339086 -0.80860129],[9.17390534]
22,22,[ 0.93132267 -0.43033025 -0.11780123 -0.95664553],[28.08889341]
23,23,[-0.99510523  0.94563822 -0.94558299 -0.85129003],[257.92371949]
24,24,[ 0.89646234  0.68928054  0.98105075 -0.02529901],[55.95198971]
25,25,[-0.97951844  0.85370833  0.87788359 -0.71504779],[185.95770546]
26,26,[-0.45118205  0.99198041  0.6135657  -0.96739035],[84.55575479]
27,27,[-0.90181575  0.41431811  0.98640491 -0.35856778],[49.55902531]
28,28,[-0.98592402  0.89287398  0.93033005 -0.99180537],[268.41576999]
29,29,[-0.98330229  0.36249712  0.68789212 -0.88097296],[82.11478097]
30,30,[ 0.82474828 -0.95963591  0.9368822   0.31896163],[81.16734017]
31,31,[-0.5352608  -0.93838165  0.96209558  0.9559269 ],[123.91050542]
32,32,[-0.854129   -0.93133998 -0.34424187  0.82763249],[130.03300029]
33,33,[ 0.0264546  -0.99586431  0.18184213  0.83244448],[20.05298711]
34,34,[-0.98901545 -0.6614988   0.43312782  0.8086146 ],[99.53417054]
35,35,[-0.99458123 -0.67039481 -0.94361378  0.90794525],[199.04062081]
36,36,[-0.34226729 -0.81059893 -0.97282055  0.94941613],[130.66058606]
37,37,[-0.97753082 -0.93444971 -0.9768996   0.02702502],[215.90970285]
38,38,[-0.98439898  0.97010667  0.78631277 -0.99701801],[287.02254521]
39,39,[-0.55204758 -0.99970074 -0.85423623  0.43688526],[131.32607926]
40,40,[-0.83257355 -0.96045049 -0.89819127 -0.62004781],[223.99059989]
41,41,[-0.95146917 -0.98824672 -0.20451218 -0.25315561],[141.53622617]
42,42,[-0.69313791 -0.89631859 -0.94403045 -0.30685874],[159.96658472]
43,43,[-0.98481766 -0.92749052 -0.83641587 -0.91780794],[273.68605042]
44,44,[-0.40180845 -0.98998085 -0.68439004 -0.95909722],[185.22245726]
45,45,[-0.89468992 -0.42839405 -0.90068901  0.61048973],[89.41634299]
46,46,[-0.93604638 -0.85147552 -0.59144186 -0.92159285],[230.35007542]
47,47,[-0.95803488 -0.70453713 -0.89765861 -0.88369444],[261.21223135]
48,48,[-0.30219005 -0.07302773  0.9740012   0.95990333],[-7.36193731]
49,49,[-0.91610679 -0.96666704  0.83537428  0.01826814],[132.05443928]
50,50,[-0.71191811 -0.90651422 -0.84208015 -0.93819385],[217.59595042]
51,51,[-0.82563547 -0.97720362  0.28795193 -0.8938397 ],[252.54010096]
52,52,[-0.63038755 -0.97128327  0.26449904 -0.89082694],[120.23991075]
53,53,[-0.87137633 -0.96800406  0.40572168 -0.78527106],[238.48430074]
54,54,[-0.98458727 -0.97905711  0.10230595 -0.75122894],[254.30739519]
55,55,[-0.86721223 -0.90244496  0.51870579 -0.99001923],[255.46250158]
56,56,[-0.9478432  -0.93637259 -0.96324101 -0.96131326],[291.77497473]
57,57,[-0.9412614  -0.94787142 -0.03555962 -0.95719409],[223.63335242]
58,58,[-0.88468797 -0.59666592  0.46121826 -0.9899405 ],[148.45877721]
59,59,[-0.82558558 -0.97582536 -0.87360768  0.98661073],[236.12331451]
60,60,[ 0.28183646 -0.9427654  -0.98625299 -0.58043189],[76.62906341]
61,61,[ 0.88324049 -0.14948326  0.82786237 -0.09627286],[6.99485874]
62,62,[-0.92523384  0.75094408  0.66969642 -0.99773904],[152.6861275]
63,63,[-0.87273327 -0.99624125  0.35201267 -0.95116896],[266.75972242]
64,64,[-0.93642884 -0.97236236 -0.69151579 -0.3518292 ],[262.96037629]
65,65,[-0.99374634 -0.81744823  0.82329574 -0.72689569],[250.91132119]
66,66,[-0.94671627  0.95954908  0.98412937 -0.92087759],[300.47718497]
67,67,[-0.97442006 -0.8719266  -0.47998024 -0.61448898],[198.82892215]
68,68,[-0.92253206 -0.97139664 -0.95220919  0.57745124],[214.4349045]
69,69,[-0.83570313 -0.9911048   0.95557461 -0.89608716],[317.57790884]
70,70,[-0.86852891  0.97069661  0.828122   -0.99259878],[253.20109534]
71,71,[-0.70330913 -0.8315359   0.97011896 -0.81476477],[167.01471782]
72,72,[-0.94081743 -0.95903955 -0.54879244  0.2841907 ],[141.43402043]
73,73,[ 0.99525376  0.94112167  0.77532259 -0.91604271],[221.9575983]
74,74,[-0.90327355 -0.77871133  0.90981951 -0.96154675],[294.42774207]
75,75,[ 0.63748056  0.85402603  0.91170141 -0.80367456],[89.03905028]
76,76,[ 0.89486591  0.90607725  0.3242986  -0.92422095],[123.81348328]
77,77,[-0.97609075 -0.93665151  0.86611471 -0.71157556],[276.81849081]
78,78,[ 0.93417161  0.98483576  0.40207699 -0.36574867],[92.57401869]
79,79,[-0.97067742 -0.99318479  0.84706822 -0.84570695],[348.69923772]
80,80,[ 0.89378531 -0.81025839 -0.96292596  0.92189056],[191.05513117]
81,81,[ 0.76996044 -0.75601881 -0.81530063  0.29359564],[64.17905841]
82,82,[ 0.72918    -0.31688571 -0.84383006  0.99920651],[96.61640411]
83,83,[-0.98097197  0.81028764 -0.98894233 -0.19344089],[155.38005694]
84,84,[ 0.73426192 -0.87670481 -0.3481049   0.94745754],[96.67047173]
85,85,[-0.98991823 -0.5600888  -0.77592129 -0.27664065],[79.73618037]
86,86,[-0.96470799 -0.43002191  0.95710205  0.25907268],[20.49166261]
87,87,[ 0.8669305  -0.90495513  0.1800687  -0.22700697],[12.27226924]
88,88,[-0.99752296 -0.96471956  0.57391139 -0.92520095],[373.26969445]
89,89,[ 0.45792599 -0.86492834 -0.89615014  0.98284879],[109.18508428]
