,evals,X,fX
0,0,"[0.57135866 0.16265309 0.4044646  0.69949548 0.7123508  0.70685934
 0.39356925 0.35678287 0.01155878 0.65788362 0.28138505 0.37407872
 0.30481183 0.60167726 0.32681543 0.33134314 0.93553602 0.90561388
 0.68706237 0.53760006 0.38028924 0.0318849  0.92052058 0.84631687
 0.72295022 0.18117023 0.75804731 0.72866609 0.90418112 0.65814227
 0.42189355 0.74464563 0.2700598  0.41306404 0.76080217 0.07129967
 0.65113181 0.90351134 0.15974752 0.01061287 0.7412229  0.51301313
 0.25278703 0.95901501 0.10348307 0.96286639 0.13866152 0.08803106
 0.49515059 0.34632531 0.87607001 0.05810829 0.54300036 0.8328123
 0.16478568 0.18082531 0.2630555  0.71236498 0.90989036 0.78564237]",[7.05471604]
1,1,"[0.44055537 0.90030176 0.67496261 0.38636934 0.44824833 0.39286517
 0.64170369 0.94095423 0.77269131 0.41401106 0.61684601 0.60143883
 0.97916812 0.38307638 0.59412543 0.73469066 0.25126511 0.08618145
 0.14920343 0.13440366 0.94344906 0.75162764 0.28611881 0.17120979
 0.30482286 0.56030869 0.01945905 0.49998773 0.13397387 0.12860319
 0.63832077 0.12587076 0.94886851 0.91762316 0.07315811 0.99772159
 0.17786455 0.27356537 0.74590777 0.56482919 0.43002673 0.10919895
 0.9121657  0.49914156 0.99564786 0.07883488 0.73533299 0.85371575
 0.67000296 0.848375   0.37420386 0.90851768 0.42386098 0.04078552
 0.65384186 0.78049314 0.95993021 0.04744067 0.20294949 0.26923185]",[13.81218506]
2,2,"[7.19501353e-01 9.27115322e-01 9.84714586e-01 3.60075618e-01
 7.05045670e-01 6.95882553e-02 1.10479074e-02 1.11188161e-01
 1.78372842e-01 3.91378766e-01 7.24700597e-01 7.38465883e-01
 2.58142876e-01 6.84240136e-01 1.31213673e-01 4.01413986e-01
 9.50385399e-01 6.80541887e-01 4.42032335e-01 6.53063648e-01
 1.41844724e-01 6.06447170e-01 7.10133247e-01 5.62910520e-01
 9.96461777e-01 2.16767145e-01 3.08352644e-01 9.89538627e-01
 1.46677257e-01 7.27155893e-01 6.99068454e-01 8.94294568e-01
 3.08727092e-01 7.95763001e-01 5.62310875e-01 5.15464597e-01
 1.16049195e-01 6.37774542e-03 1.37318734e-01 9.70957180e-01
 6.38383955e-01 5.37894102e-01 1.37176085e-01 9.93013175e-01
 2.11312211e-01 8.65079769e-01 8.07594728e-01 5.90370165e-01
 3.71914705e-01 6.82740836e-01 3.88381016e-01 3.96661338e-01
 3.17151736e-01 8.80320572e-01 8.19026442e-01 8.27566959e-01
 2.39406808e-04 2.65731562e-01 5.89269417e-01 8.84566846e-01]",[15.47785691]
3,3,"[0.01251264 0.03293494 0.163132   0.79196505 0.05028886 0.75096167
 0.90049811 0.53518488 0.91945171 0.84513808 0.06207879 0.26679747
 0.92222349 0.30867231 0.99726001 0.66709149 0.42213782 0.20313859
 0.92830908 0.39816301 0.55287075 0.35768954 0.41493502 0.31738661
 0.17016624 0.59564164 0.78319074 0.01351594 0.52648751 0.40813463
 0.41161678 0.01151149 0.59347549 0.33716519 0.45417901 0.35795785
 0.89452213 0.54428893 0.71575911 0.45719022 0.38207712 0.10281978
 0.61589196 0.44820449 0.87155178 0.20911141 0.4874718  0.48654271
 0.52835007 0.26993607 0.9316258  0.79623698 0.9485318  0.27416401
 0.42112061 0.31648027 0.89559537 0.52175305 0.13626673 0.31442108]",[6.72268553]
4,4,"[0.50492841 0.04153607 0.75259223 0.74642566 0.31931517 0.28745402
 0.03736246 0.69813109 0.69313615 0.66932285 0.26345195 0.26643942
 0.76930266 0.35901377 0.70478662 0.80039929 0.01782908 0.7068095
 0.95723987 0.94571184 0.9277741  0.66411818 0.54312181 0.67133963
 0.00302852 0.02548271 0.47772219 0.39095148 0.26987537 0.99886877
 0.94438644 0.54139601 0.61033683 0.4255565  0.94204049 0.74058187
 0.61360222 0.38387476 0.53040683 0.58455082 0.65142978 0.51856848
 0.99917354 0.81782868 0.71267723 0.71328263 0.76174227 0.36999654
 0.41346358 0.72177881 0.744632   0.64398733 0.5138188  0.05149245
 0.73044701 0.18867474 0.80904618 0.94440701 0.8514388  0.52199813]",[10.35069726]
5,5,"[0.07799972 0.56079865 0.35602722 0.18753106 0.78191088 0.96531076
 0.88170997 0.2355339  0.02205761 0.2562118  0.83309189 0.54439051
 0.12785266 0.57716523 0.27270178 0.47873558 0.77557049 0.35663563
 0.38027095 0.1583414  0.03684183 0.26446803 0.06662134 0.04479623
 0.58830172 0.7983109  0.77710204 0.83800174 0.84946469 0.38089312
 0.12434497 0.22331961 0.04865249 0.96193336 0.01989708 0.44436016
 0.07744997 0.54723904 0.47461851 0.13461539 0.15700047 0.16324679
 0.16138369 0.47978265 0.27820004 0.1797047  0.07209139 0.80862058
 0.77295773 0.25068044 0.47707402 0.35718686 0.08530539 0.83061624
 0.28938139 0.64217544 0.42137427 0.22432679 0.43299428 0.24149117]",[15.33752211]
6,6,"[0.86737084 0.44116575 0.32240853 0.05123838 0.35814064 0.22796516
 0.69844983 0.16191705 0.73747842 0.43350412 0.47092295 0.64120597
 0.42240673 0.24624872 0.63448839 0.12723258 0.32210074 0.20267781
 0.91684276 0.21771894 0.41851432 0.27089458 0.44475246 0.38765682
 0.63823916 0.07630385 0.91947568 0.36967996 0.55162778 0.7134493
 0.33863663 0.71926643 0.1578383  0.93058299 0.86529528 0.57594742
 0.09112367 0.35479679 0.83501117 0.21901742 0.74853376 0.96972894
 0.4895645  0.32982778 0.70204259 0.36690384 0.24473106 0.37590295
 0.57837063 0.64062449 0.11336033 0.48799276 0.32493583 0.61073781
 0.12026479 0.30245895 0.9360153  0.05588116 0.94984528 0.20336135]",[12.7562588]
7,7,"[0.08287552 0.67738713 0.56216762 0.63492461 0.82938963 0.74695131
 0.34183928 0.5519231  0.45916662 0.70143276 0.80207474 0.00380875
 0.7443558  0.97200824 0.23333308 0.56600624 0.65941605 0.56870157
 0.33531255 0.9269112  0.52285687 0.51080136 0.61328943 0.60267091
 0.00212732 0.67139882 0.08079008 0.90483845 0.2112685  0.11844368
 0.96168035 0.14533713 0.98721943 0.0686395  0.41149451 0.39039816
 0.81315002 0.73028731 0.20013626 0.98235904 0.31937681 0.45644892
 0.77149884 0.70825902 0.10784609 0.72886397 0.9727304  0.76125033
 0.30279169 0.33618659 0.89152017 0.89117297 0.71851561 0.26333011
 0.72518504 0.91734146 0.46842723 0.78214206 0.10456648 0.54250167]",[17.48161222]
8,8,"[0.97482278 0.31095111 0.80296688 0.57655547 0.19298071 0.7176836
 0.21972609 0.25549171 0.18287767 0.85250365 0.39582932 0.11265172
 0.61399137 0.48937016 0.01357129 0.76603793 0.53215293 0.55354031
 0.2996492  0.09804303 0.3177329  0.29955606 0.98195906 0.87610783
 0.89140176 0.04648692 0.77297898 0.18605625 0.2032612  0.47619201
 0.05764932 0.82456541 0.93120928 0.55587244 0.35383069 0.10997009
 0.15898144 0.9198648  0.02077247 0.39844231 0.91151959 0.17575168
 0.81107374 0.75383419 0.62888283 0.39148889 0.0090573  0.76893937
 0.98045788 0.79671383 0.16001218 0.1011695  0.48227548 0.78593286
 0.50463545 0.58782837 0.68950805 0.7247684  0.68019357 0.46118826]",[14.08674903]
9,9,"[0.15583991 0.90983651 0.44137104 0.21067702 0.50312507 0.16862832
 0.96493162 0.92219236 0.77982495 0.3297081  0.93044705 0.68138894
 0.16118314 0.81713053 0.79158818 0.04179005 0.21153571 0.06217643
 0.74461778 0.77110009 0.68166492 0.74514778 0.34834353 0.07352813
 0.15501069 0.73626493 0.32383944 0.8686306  0.64950255 0.73308396
 0.63050193 0.06203976 0.11445717 0.48332563 0.90955884 0.81273499
 0.6359994  0.39282465 0.98402933 0.57095918 0.04446983 0.58150334
 0.44813921 0.13098614 0.27201561 0.98592061 0.96889641 0.2776233
 0.25182659 0.16961746 0.51113507 0.74269371 0.62608983 0.00308189
 0.02437402 0.45224644 0.07427964 0.09706988 0.25458806 0.80253928]",[19.36203878]
10,10,"[0.91326263 0.8847751  0.59149676 0.80817363 0.37059413 0.79268705
 0.16984951 0.25999707 0.90269991 0.15835294 0.78473807 0.80698252
 0.58660468 0.11678985 0.90510943 0.87845244 0.57084358 0.79354849
 0.67882285 0.09268876 0.36842831 0.9432848  0.7425856  0.19582564
 0.60285436 0.43649738 0.70920829 0.67900912 0.07492134 0.34440218
 0.28477847 0.23804056 0.25178329 0.44843127 0.69665844 0.48117145
 0.82991071 0.10410811 0.88371928 0.23327552 0.69403562 0.7201365
 0.23047784 0.46647529 0.73029021 0.62987558 0.94300511 0.89246682
 0.29709785 0.73082067 0.34760017 0.4496283  0.60485945 0.38700374
 0.30531679 0.27769363 0.43049376 0.99828837 0.80519034 0.51214618]",[15.15250268]
11,11,"[0.32151581 0.30533204 0.07679587 0.40122191 0.69498928 0.02536834
 0.61722887 0.5954932  0.41993836 0.79986627 0.20463559 0.15319786
 0.16760436 0.54700015 0.0132157  0.38234504 0.36972537 0.20477717
 0.00550234 0.85646623 0.96266758 0.45584383 0.05800138 0.6637759
 0.13144014 0.83945488 0.24913898 0.32217383 0.95535916 0.77215753
 0.60416379 0.85225823 0.6937585  0.85493156 0.09086081 0.72775882
 0.09979623 0.77521417 0.47716306 0.58154045 0.15730028 0.12903346
 0.7097068  0.77959276 0.30218497 0.34216838 0.1683929  0.3206846
 0.71762983 0.01359609 0.84630415 0.8476916  0.157468   0.90730581
 0.62882881 0.78590817 0.70483159 0.29206773 0.30968953 0.05911121]",[13.65513476]
12,12,"[9.62759378e-01 2.07731041e-02 5.79365363e-01 3.09510907e-01
 1.30321511e-01 8.12948894e-01 7.18979149e-01 2.10377563e-01
 5.12005121e-01 4.90423857e-01 5.06076729e-01 6.37027214e-01
 9.02102192e-02 2.59610717e-01 1.97732028e-04 6.07748344e-01
 7.19506025e-01 9.73897181e-01 8.36887785e-01 5.58637557e-01
 9.10911077e-01 3.75003430e-01 7.99986181e-01 8.50219517e-01
 4.29525833e-01 8.03585233e-01 2.36473043e-01 1.66750709e-02
 9.64242148e-01 1.60044863e-01 1.10954165e-02 5.31590464e-01
 1.94982126e-01 4.79153934e-01 6.34492419e-01 6.91646075e-02
 7.62777378e-01 6.88957580e-02 7.91157666e-01 6.26012487e-01
 2.98078489e-01 7.42964631e-01 2.85080125e-01 7.77523909e-01
 9.68951050e-01 6.13590231e-01 3.42817485e-01 1.79583424e-01
 8.78410714e-02 6.64111893e-01 7.55924594e-02 6.07219964e-01
 7.68974094e-01 8.38566039e-02 4.85503294e-01 4.41437726e-01
 6.82751070e-01 5.94789371e-01 6.53612736e-01 3.72499209e-01]",[11.80492727]
13,13,"[0.11655226 0.8545178  0.09892944 0.89885627 0.51759379 0.28821427
 0.12633531 0.53720292 0.42433336 0.56676766 0.35559093 0.05118644
 0.82809554 0.95886836 0.53257441 0.10085613 0.38602087 0.26805841
 0.49588296 0.18186671 0.21955173 0.75045152 0.06634709 0.16411169
 0.76015551 0.17517857 0.9628474  0.62526124 0.25563432 0.91026722
 0.86861949 0.18540106 0.8058056  0.86022288 0.17297444 0.55964332
 0.23977081 0.75898747 0.16585319 0.474462   0.90267648 0.42101319
 0.83268441 0.25055325 0.07440629 0.14492103 0.6835951  0.51191667
 0.63546924 0.46455331 0.76543415 0.02730285 0.47264302 0.85984677
 0.58745775 0.54966252 0.4476639  0.39171953 0.13674922 0.56637227]",[14.53511611]
14,14,"[0.42365744 0.96153604 0.53836993 0.9213015  0.01201973 0.25625564
 0.44427138 0.22967941 0.19050706 0.83957865 0.54803396 0.45434348
 0.81364921 0.86978654 0.6495337  0.33427613 0.39225722 0.14621116
 0.7432301  0.59226243 0.59985689 0.88465187 0.76667097 0.33348904
 0.58197205 0.78992284 0.85951778 0.65019533 0.97121767 0.0508667
 0.04680062 0.80913221 0.9212356  0.93155335 0.80200788 0.32118336
 0.1225493  0.05847396 0.63287091 0.30900059 0.49157245 0.98085163
 0.46422165 0.48803639 0.48868819 0.35673402 0.6504683  0.07127121
 0.03334139 0.84853354 0.19595072 0.19892152 0.72801187 0.05927033
 0.52170943 0.2081262  0.90742796 0.37505496 0.1609196  0.43419481]",[16.60641754]
15,15,"[0.80424496 0.40372716 0.24130246 0.29380133 0.52709877 0.54513252
 0.56847767 0.86339726 0.72226188 0.30575304 0.37456103 0.7663602
 0.16720743 0.38118803 0.40966777 0.65714739 0.54354757 0.7735711
 0.21853017 0.18196879 0.44030482 0.19563185 0.26750485 0.7492025
 0.05799914 0.32852906 0.44851973 0.27877581 0.32801681 0.55888732
 0.9734731  0.34227544 0.09113521 0.36352416 0.28669158 0.93961215
 0.8922984  0.89070675 0.3178127  0.86513999 0.88244868 0.01878136
 0.55138154 0.63658548 0.54437907 0.88959461 0.13559522 0.93504184
 0.8974398  0.46375881 0.5053531  0.90900061 0.07633924 0.73488991
 0.09775664 0.87467299 0.49663141 0.99285461 0.79535242 0.67406839]",[12.14852943]
16,16,"[0.68729501 0.1066792  0.92110532 0.32810534 0.42227161 0.11894168
 0.51566463 0.78138178 0.58979484 0.40637788 0.70014828 0.55181422
 0.89874511 0.26447094 0.99721004 0.84925784 0.05714991 0.1272059
 0.06188501 0.66476479 0.29597234 0.22882771 0.41986093 0.66626757
 0.02379297 0.75250498 0.78186988 0.38135759 0.88716791 0.02639831
 0.91413467 0.41738308 0.62242772 0.21510273 0.37004544 0.59080441
 0.51235174 0.23528074 0.54949883 0.21004445 0.4865625  0.5018955
 0.27044171 0.47324592 0.94452838 0.34814151 0.31929717 0.05955453
 0.82847134 0.4939844  0.92798178 0.63304877 0.82690246 0.03652129
 0.96160691 0.01360354 0.09295613 0.02453498 0.66745164 0.00487866]",[13.54485344]
17,17,"[0.22095232 0.8178184  0.10503544 0.6424602  0.77770628 0.71113792
 0.07990405 0.40821048 0.2296993  0.66625945 0.4057189  0.1279174
 0.35763384 0.59695759 0.07018195 0.13058862 0.87819212 0.72457838
 0.83176675 0.17999408 0.90569276 0.50097946 0.88215898 0.34781659
 0.77940742 0.04189214 0.46249182 0.93058141 0.39370304 0.87244092
 0.39158087 0.8476334  0.00861814 0.89348849 0.74134543 0.33887975
 0.45280681 0.52479916 0.4927195  0.56913709 0.53735926 0.45308793
 0.54001069 0.71678586 0.31405702 0.60318381 0.67939303 0.95341936
 0.2585939  0.88618075 0.10315672 0.4629889  0.32700974 0.55001517
 0.04970863 0.92726612 0.61820923 0.58164354 0.05784939 0.60733721]",[13.8860143]
18,18,"[0.43758161 0.29905834 0.75427624 0.81328119 0.17007621 0.19859145
 0.87267572 0.70605568 0.84376058 0.23894596 0.40285347 0.68441998
 0.89973071 0.48864801 0.83898117 0.61512778 0.63607908 0.85681709
 0.83446011 0.55186326 0.63783728 0.91740381 0.96652712 0.09248099
 0.39601505 0.18132856 0.33269883 0.61096406 0.57160755 0.68943475
 0.39667261 0.43613135 0.7036473  0.63754985 0.3683351  0.08693175
 0.02402971 0.23496689 0.87842128 0.68620534 0.59544644 0.05705899
 0.57222115 0.66386974 0.33993451 0.7527249  0.94177652 0.53857987
 0.80224418 0.41234896 0.67420186 0.14465838 0.64702568 0.95539434
 0.07410732 0.81508405 0.24501106 0.72516949 0.52886349 0.78719587]",[6.23773945]
19,19,"[0.61043661 0.72520626 0.19839061 0.30961295 0.89257938 0.69771962
 0.36469344 0.22726467 0.44043026 0.85138201 0.6563668  0.27278906
 0.04804813 0.6054895  0.42405911 0.1146927  0.1931336  0.21096202
 0.17433369 0.22727618 0.37009439 0.19663383 0.19424354 0.53638697
 0.80692316 0.81442669 0.80914029 0.10478156 0.33012203 0.20477434
 0.53239854 0.81935695 0.01145433 0.07256805 0.70127163 0.9152421
 0.57346779 0.80638065 0.14174677 0.182293   0.07489929 0.54911091
 0.41907052 0.10208819 0.63082487 0.14120095 0.246365   0.03296683
 0.27090171 0.75862799 0.31276488 0.83773567 0.05239967 0.17047549
 0.76501698 0.17979612 0.87368962 0.03507699 0.02625113 0.10422246]",[20.15990546]
20,20,"[0.77735227 0.58491169 0.84934937 0.65136143 0.7791933  0.35710401
 0.34169505 0.92392644 0.95126184 0.99696012 0.25182957 0.15252465
 0.38792293 0.50115919 0.61129201 0.58931734 0.2557648  0.30180782
 0.67131773 0.24782252 0.53554344 0.96299669 0.31624167 0.55214704
 0.75907704 0.33582746 0.12277165 0.14857416 0.20219773 0.17421747
 0.88252543 0.05805664 0.73129272 0.69738144 0.99635511 0.13687934
 0.76458934 0.64482168 0.34968214 0.14650113 0.74963299 0.35938006
 0.14407198 0.13587648 0.20637269 0.99724111 0.23533285 0.4645826
 0.42038792 0.13972442 0.97727424 0.21099896 0.68953832 0.89291415
 0.587415   0.92061003 0.5328714  0.36829098 0.63545833 0.42578906]",[14.01723011]
21,21,"[0.27171508 0.00456781 0.09289964 0.1703045  0.44850258 0.73118028
 0.89273899 0.1224754  0.23308714 0.21407114 0.54285077 0.98177796
 0.63051201 0.36854594 0.48432062 0.38606018 0.90103968 0.60078619
 0.47547521 0.7655335  0.45532971 0.14854564 0.84082909 0.22103904
 0.20893055 0.63319768 0.5987223  0.72866612 0.65692105 0.83205633
 0.129234   0.98863592 0.47508226 0.15464315 0.45229874 0.50459216
 0.08832872 0.12208535 0.56095543 0.68956299 0.13720987 0.77880851
 0.9642334  0.88813215 0.86395609 0.32048626 0.67656751 0.97101949
 0.9772099  0.93449086 0.01969502 0.79053927 0.15671066 0.38532098
 0.02055496 0.26133011 0.11962929 0.7380469  0.26026616 0.5093059 ]",[13.24286474]
22,22,"[0.32784997 0.88992003 0.50691554 0.047987   0.7160436  0.33764165
 0.4048421  0.29664336 0.31339489 0.21509826 0.42161818 0.25237975
 0.26883482 0.65862929 0.88784851 0.84708196 0.86818329 0.91102488
 0.65767899 0.63324653 0.57908218 0.66417036 0.89057238 0.53849709
 0.04718641 0.12400475 0.03813683 0.03222434 0.14051374 0.6134599
 0.07391035 0.47878714 0.30417272 0.37256142 0.00678202 0.47155855
 0.53170508 0.74410919 0.95329619 0.73651213 0.41900167 0.29401142
 0.76500028 0.78293913 0.54695518 0.35655555 0.03201012 0.30665955
 0.27700524 0.85765909 0.28083054 0.19359026 0.90152041 0.70934698
 0.56579815 0.02951089 0.86819673 0.33397188 0.09624    0.49043533]",[16.28922074]
23,23,"[0.96610004 0.08999874 0.37662602 0.77094651 0.00989537 0.77014883
 0.56914825 0.75875905 0.60505077 0.93231255 0.67201952 0.62927775
 0.50994131 0.028983   0.37783908 0.26480179 0.41422796 0.1991117
 0.44348581 0.2318555  0.36195381 0.2364674  0.37166513 0.13586192
 0.60417375 0.92881537 0.57473478 0.88366044 0.81672663 0.13949241
 0.89039885 0.95313633 0.57593256 0.93880342 0.81608024 0.5099045
 0.31337728 0.21489692 0.31439663 0.36912549 0.64198061 0.81807618
 0.09719426 0.19282163 0.02596523 0.96957435 0.77595067 0.79688722
 0.50916797 0.19963025 0.57082257 0.55728435 0.022551   0.34899797
 0.1488658  0.97059662 0.46257336 0.50041708 0.84050412 0.81185664]",[13.66118047]
24,24,"[0.72702941 0.1618824  0.78595709 0.71753352 0.36945365 0.23048159
 0.51332727 0.61867669 0.97309798 0.41705275 0.83904591 0.19108027
 0.0867189  0.03909539 0.72169949 0.00887734 0.5570021  0.60784715
 0.13752907 0.51224051 0.40184735 0.18582866 0.0816815  0.75422321
 0.27016975 0.31645123 0.20776523 0.87200199 0.88838773 0.03761803
 0.12095563 0.31970274 0.28314192 0.13972803 0.69150785 0.3534631
 0.36343123 0.88419201 0.49668868 0.76742482 0.22591519 0.12618252
 0.23769475 0.06664267 0.75566186 0.73507993 0.1098401  0.1251107
 0.55693011 0.57369589 0.9597505  0.05899137 0.67663122 0.60375738
 0.55233976 0.38491748 0.67693405 0.80464363 0.41976859 0.29327358]",[12.17959387]
25,25,"[0.40816285 0.74485529 0.42290631 0.24534222 0.78401566 0.7546541
 0.46637968 0.28115656 0.46702904 0.59513682 0.4502947  0.84811381
 0.96823434 0.71569874 0.37237155 0.8044554  0.49874878 0.10304437
 0.64815301 0.15068309 0.93601131 0.89592867 0.70103035 0.1144122
 0.9948802  0.50028392 0.54792728 0.42531013 0.17745875 0.70816625
 0.98642805 0.560977   0.51816164 0.72257909 0.14704104 0.59774754
 0.52781405 0.04964066 0.59864324 0.38619697 0.84078979 0.55124552
 0.72854859 0.87220909 0.29002035 0.27475424 0.81265468 0.78927219
 0.04131703 0.04699348 0.07148866 0.61363924 0.20221721 0.34188162
 0.00233637 0.85554384 0.03883963 0.40955364 0.53261721 0.64994963]",[12.30523172]
26,26,"[0.53109261 0.35631425 0.65544581 0.80705758 0.72725284 0.82589706
 0.7755339  0.38229167 0.42619703 0.5348223  0.41203241 0.4856367
 0.19638969 0.53402527 0.53572895 0.74237616 0.63900846 0.33268251
 0.81227359 0.43018876 0.00777233 0.02331413 0.93114707 0.4121975
 0.94303777 0.74370158 0.01337398 0.09382574 0.44125782 0.82263458
 0.05492633 0.04501367 0.65311402 0.58478867 0.81898693 0.83431214
 0.85922297 0.18605194 0.60393188 0.75309727 0.52661585 0.43840281
 0.56438155 0.82062759 0.62594119 0.5555061  0.12127273 0.96613356
 0.7544504  0.17936329 0.40383487 0.3652575  0.24337493 0.00400463
 0.97384459 0.73267717 0.34405927 0.94287972 0.36103673 0.49071263]",[15.91890764]
27,27,"[0.17329495 0.76299486 0.28665597 0.25330983 0.04170181 0.43371029
 0.01513448 0.64923556 0.91310426 0.49384948 0.92032805 0.8311126
 0.96523886 0.23042654 0.48493532 0.17122776 0.07925962 0.82602973
 0.06339088 0.86847238 0.89866208 0.7563269  0.19589598 0.68676586
 0.00884604 0.09948159 0.98623283 0.99094767 0.7839606  0.07949062
 0.51162994 0.70320198 0.30104562 0.07785385 0.08187634 0.07286484
 0.23585981 0.59218307 0.31721547 0.052797   0.18705737 0.78765619
 0.49025236 0.34722413 0.24594872 0.47173076 0.71958473 0.45812615
 0.03277244 0.93459565 0.80499592 0.98304441 0.92232191 0.52876625
 0.27893224 0.18482427 0.86854423 0.18292524 0.83480999 0.880502  ]",[2.52857772]
