,evals,X,fX
0,0,"[0.93515324 0.41762835 0.13048604 0.01787909 0.61438133 0.10559028
 0.5903603  0.65805811 0.1205193  0.68768422 0.81633199 0.11151626
 0.0693756  0.78849848 0.17583686 0.23387518 0.17938319 0.54158455
 0.62645481 0.52370275 0.96470333 0.61807066 0.90545247 0.56309083
 0.53785319 0.34279411 0.97353701 0.15783675 0.43813604 0.3490828
 0.17818654 0.95228804 0.18820974 0.92336114 0.86672058 0.84949051
 0.83475494 0.03998962 0.52232391 0.54759904 0.10871515 0.90350827
 0.55019021 0.03212569 0.97197534 0.58143586 0.29593683 0.97517733
 0.18338483 0.01080935 0.7603372  0.65350634 0.41657428 0.9646843
 0.06446767 0.91556772 0.39337657 0.34482205 0.82522055 0.46864574]",[14.02989444]
1,1,"[0.11807583 0.74072997 0.96370431 0.58870399 0.07651413 0.98383982
 0.16030782 0.44289855 0.77268846 0.18555309 0.06846291 0.55625517
 0.53614163 0.09661954 0.5014633  0.93839643 0.96856725 0.25132404
 0.37374741 0.24408554 0.00196045 0.23116468 0.07273116 0.15439728
 0.37660604 0.8776797  0.45875591 0.96584451 0.54507086 0.59765236
 0.78073423 0.00521334 0.61494845 0.01843078 0.04219121 0.33115122
 0.29177177 0.86343151 0.45218831 0.00835883 0.94834593 0.25195049
 0.30740972 0.56737282 0.23598403 0.31728474 0.74589382 0.46570713
 0.96794692 0.74998073 0.20481775 0.40541856 0.75788584 0.24484457
 0.93519607 0.44904589 0.5695909  0.8647773  0.28267218 0.94549387]",[9.83945927]
2,2,"[0.20886971 0.5407373  0.96370431 0.28572403 0.07651413 0.7223842
 0.48263402 0.44289855 0.77268846 0.06217619 0.04826417 0.55625517
 0.53614163 0.08092793 0.5014633  0.93839643 0.91919095 0.25132404
 0.37374741 0.24408554 0.01430256 0.38444227 0.07273116 0.15439728
 0.37660604 0.8776797  0.45875591 0.96584451 0.54507086 0.59765236
 0.87174015 0.17925499 0.61494845 0.00307649 0.04219121 0.33115122
 0.13425384 0.86343151 0.44544036 0.00835883 0.94834593 0.25195049
 0.30740972 0.49796681 0.23598403 0.10371275 0.54859861 0.40567607
 0.96794692 0.74998073 0.20481775 0.58694988 0.75788584 0.24484457
 0.93519607 0.70325505 0.6397846  0.8647773  0.36754209 0.94549387]",[5.58778366]
3,3,"[0.11807583 0.72193923 0.93450031 0.58870399 0.07651413 0.98383982
 0.16030782 0.44289855 0.77268846 0.18555309 0.06846291 0.55625517
 0.53614163 0.09661954 0.45997767 0.69855728 0.86224057 0.25132404
 0.37374741 0.24408554 0.04039713 0.23116468 0.07273116 0.15439728
 0.37660604 0.8776797  0.45875591 0.90348584 0.54507086 0.59765236
 0.53049364 0.15980472 0.61494845 0.01843078 0.04219121 0.33115122
 0.29177177 0.80820577 0.57045772 0.00835883 0.94834593 0.15270553
 0.30740972 0.56737282 0.23598403 0.31728474 0.74589382 0.46570713
 0.90336098 0.74998073 0.16814643 0.40541856 0.75788584 0.20859919
 0.93519607 0.44904589 0.41630329 0.8647773  0.25295809 0.94549387]",[13.16335652]
4,4,"[0.11807583 0.74072997 0.96370431 0.58870399 0.07651413 0.98383982
 0.16030782 0.86575117 0.79920004 0.18555309 0.06846291 0.55625517
 0.53614163 0.09661954 0.5014633  0.93839643 0.96856725 0.25132404
 0.37374741 0.24408554 0.00196045 0.23116468 0.07273116 0.15439728
 0.86989491 0.8776797  0.45875591 0.96584451 0.54507086 0.59765236
 0.78073423 0.01401546 0.61494845 0.01843078 0.04219121 0.33115122
 0.29177177 0.86343151 0.45218831 0.00835883 0.94834593 0.25195049
 0.26504633 0.56737282 0.23598403 0.32901914 0.74589382 0.46570713
 0.96794692 0.74998073 0.20481775 0.40541856 0.75788584 0.24484457
 0.93519607 0.44904589 0.93300079 0.80321485 0.49462485 0.94549387]",[8.27969076]
5,5,"[0.11807583 0.74072997 0.96370431 0.41676219 0.07651413 0.98383982
 0.16030782 0.44289855 0.77268846 0.36558577 0.08864461 0.55625517
 0.53614163 0.043014   0.50514451 0.93839643 0.96856725 0.25132404
 0.37374741 0.24408554 0.20581832 0.23116468 0.07273116 0.15439728
 0.07184658 0.8776797  0.58194686 0.85911487 0.54507086 0.59765236
 0.78073423 0.00521334 0.49563262 0.01843078 0.04219121 0.33115122
 0.29177177 0.70648935 0.45218831 0.00835883 0.94834593 0.10232786
 0.30740972 0.73027445 0.23598403 0.31728474 0.74589382 0.46570713
 0.91859613 0.74998073 0.3232167  0.54431563 0.75788584 0.24484457
 0.95023285 0.44904589 0.57123513 0.56723386 0.28267218 0.94549387]",[9.99967785]
6,6,"[0.11807583 0.56411342 0.96370431 0.58870399 0.07651413 0.76959816
 0.14723146 0.44289855 0.77268846 0.13907639 0.06846291 0.55625517
 0.47475055 0.09661954 0.25625762 0.74652229 0.96856725 0.25132404
 0.37374741 0.24408554 0.00196045 0.50986113 0.07273116 0.28492228
 0.37660604 0.8776797  0.67743157 0.96584451 0.54507086 0.59765236
 0.79683468 0.06385566 0.36983422 0.01843078 0.04219121 0.33115122
 0.29177177 0.83159529 0.45218831 0.00835883 0.99015573 0.25195049
 0.30740972 0.56737282 0.23598403 0.76187924 0.74589382 0.46570713
 0.98987137 0.74998073 0.52643369 0.40541856 0.75788584 0.24484457
 0.98992672 0.44904589 0.5695909  0.8647773  0.28267218 0.94549387]",[9.23315177]
7,7,"[0.11807583 0.74072997 0.73820633 0.58870399 0.07651413 0.98383982
 0.16030782 0.44289855 0.77268846 0.18555309 0.06846291 0.55625517
 0.53614163 0.29565359 0.52227532 0.93839643 0.96856725 0.39661843
 0.37374741 0.24408554 0.08930532 0.49858948 0.07273116 0.20033059
 0.7141368  0.8776797  0.45875591 0.96584451 0.54507086 0.59765236
 0.78073423 0.04404071 0.87062031 0.01843078 0.04219121 0.33115122
 0.29177177 0.86343151 0.45218831 0.05735836 0.94834593 0.25195049
 0.30740972 0.56737282 0.23598403 0.31728474 0.74589382 0.31135108
 0.96794692 0.74998073 0.19212678 0.40541856 0.75788584 0.09411089
 0.93519607 0.44904589 0.5695909  0.8647773  0.28267218 0.94549387]",[9.03058474]
8,8,"[0.11807583 0.74072997 0.96370431 0.58870399 0.07651413 0.98383982
 0.16030782 0.44289855 0.77268846 0.17550872 0.06846291 0.55625517
 0.53614163 0.30057031 0.5014633  0.93839643 0.94298814 0.25132404
 0.37374741 0.24408554 0.00196045 0.23116468 0.07273116 0.15439728
 0.38038891 0.96935677 0.45875591 0.96584451 0.54507086 0.5894754
 0.78073423 0.00521334 0.61494845 0.01843078 0.04219121 0.33115122
 0.29177177 0.86343151 0.45218831 0.00835883 0.94834593 0.25195049
 0.32606562 0.56737282 0.50257128 0.31728474 0.74589382 0.46570713
 0.96794692 0.74998073 0.26703437 0.40541856 0.75788584 0.24484457
 0.93519607 0.44904589 0.5695909  0.67876924 0.28267218 0.63883749]",[12.79265072]
9,9,"[0.11807583 0.74072997 0.96370431 0.58870399 0.07651413 0.98383982
 0.16030782 0.44289855 0.89910312 0.18555309 0.06846291 0.55625517
 0.53614163 0.09661954 0.5014633  0.93839643 0.96856725 0.09599634
 0.37374741 0.24408554 0.00196045 0.34592618 0.25520769 0.30799762
 0.13382846 0.91868708 0.4909791  0.96584451 0.54507086 0.59765236
 0.80328016 0.00521334 0.61494845 0.01843078 0.04219121 0.33115122
 0.29177177 0.86343151 0.45218831 0.00835883 0.94834593 0.04267665
 0.30740972 0.56737282 0.23598403 0.31728474 0.74589382 0.46570713
 0.92656554 0.74998073 0.20481775 0.40541856 0.94648157 0.28212993
 0.93519607 0.44904589 0.5695909  0.8647773  0.46536059 0.94549387]",[10.3613535]
