,seed,function,model,max_evals,batch_size,n_init,datapath,compute_time,function_sign,is_model_maximising
0,0,RobotPush,hesbo,100,10,2,data/RobotPush/sweep_results/0_RobotPush_hesbo_100_10_2.csv,35.20802450180054,1,True
1,1,RobotPush,hesbo,100,10,2,data/RobotPush/sweep_results/1_RobotPush_hesbo_100_10_2.csv,34.65298676490784,1,True
2,2,RobotPush,hesbo,100,10,2,data/RobotPush/sweep_results/2_RobotPush_hesbo_100_10_2.csv,34.574997663497925,1,True
3,3,RobotPush,hesbo,100,10,2,data/RobotPush/sweep_results/3_RobotPush_hesbo_100_10_2.csv,34.271023988723755,1,True
4,4,RobotPush,hesbo,100,10,2,data/RobotPush/sweep_results/4_RobotPush_hesbo_100_10_2.csv,34.348997831344604,1,True
5,0,RobotPush,turbo1,100,10,2,data/RobotPush/sweep_results/0_RobotPush_turbo1_100_10_2.csv,4.625997543334961,-1,False
6,1,RobotPush,turbo1,100,10,2,data/RobotPush/sweep_results/1_RobotPush_turbo1_100_10_2.csv,4.67799973487854,-1,False
7,2,RobotPush,turbo1,100,10,2,data/RobotPush/sweep_results/2_RobotPush_turbo1_100_10_2.csv,4.5709991455078125,-1,False
8,3,RobotPush,turbo1,100,10,2,data/RobotPush/sweep_results/3_RobotPush_turbo1_100_10_2.csv,5.0879974365234375,-1,False
9,4,RobotPush,turbo1,100,10,2,data/RobotPush/sweep_results/4_RobotPush_turbo1_100_10_2.csv,4.658998727798462,-1,False
10,0,RobotPush,turboM,100,10,2,data/RobotPush/sweep_results/0_RobotPush_turboM_100_10_2.csv,22.221999406814575,-1,False
11,1,RobotPush,turboM,100,10,2,data/RobotPush/sweep_results/1_RobotPush_turboM_100_10_2.csv,21.859995365142822,-1,False
12,2,RobotPush,turboM,100,10,2,data/RobotPush/sweep_results/2_RobotPush_turboM_100_10_2.csv,23.401996850967407,-1,False
13,3,RobotPush,turboM,100,10,2,data/RobotPush/sweep_results/3_RobotPush_turboM_100_10_2.csv,22.974000692367554,-1,False
14,4,RobotPush,turboM,100,10,2,data/RobotPush/sweep_results/4_RobotPush_turboM_100_10_2.csv,22.178998470306396,-1,False
15,0,RobotPush,gp,100,10,2,data/RobotPush/sweep_results/0_RobotPush_gp_100_10_2.csv,136.65314269065857,1,True
16,1,RobotPush,gp,100,10,2,data/RobotPush/sweep_results/1_RobotPush_gp_100_10_2.csv,485.7938566207886,1,True
17,2,RobotPush,gp,100,10,2,data/RobotPush/sweep_results/2_RobotPush_gp_100_10_2.csv,135.52277541160583,1,True
18,3,RobotPush,gp,100,10,2,data/RobotPush/sweep_results/3_RobotPush_gp_100_10_2.csv,369.7806499004364,1,True
19,4,RobotPush,gp,100,10,2,data/RobotPush/sweep_results/4_RobotPush_gp_100_10_2.csv,139.25199627876282,1,True
