,evals,X,fX
0,0,"[ 4.458865   -0.1816862  -6.16558481  7.91725038  9.40452888  1.78456462
 -0.37201681 -4.64481971 -9.128707   -9.79781603 13.65667784  5.58624419
  4.35006074 -0.10690829]",[-0.]
1,1,"[-1.00420718  2.30739681  7.80529176 -8.81725574 24.9588943   3.59195029
  4.72334459  2.60924161  4.1466194   2.64555612 26.83927165  1.43303853
 -2.15783026  0.093949  ]",[2.45524892]
2,2,"[-0.30615645 -2.19410023 -6.59233575  7.03767858 18.92109736  5.25617069
  2.58763495  3.27451702 -1.20563436 -5.58452834  3.11357786  0.48559285
 -2.21984588  4.01932915]",[-0.05377375]
3,3,"[-2.89214365  1.98478278 -9.0751297  -5.96431857  6.20963249  0.27491974
 -3.48913889  1.20873123 -9.68661923  6.89222248 13.29076456  4.4951335
 -0.31456068  4.85317486]",[0.]
4,4,"[ 2.2245429  -4.05839784 -8.02277098 -9.31560421 17.35863316  1.72783493
 -2.75293871 -4.98133847 -7.46371726  1.884383   12.83727758  3.81801282
  2.35633396 -4.89315225]",[0.]
5,5,"[ 4.70321092  0.67886716 -3.19575581  0.84294982 12.90635636  1.29536303
  2.97883011  2.92048155 -8.91436531  4.5153154   6.34846277  5.10537574
  1.25086785 -4.4765039 ]",[-0.02682608]
6,6,"[ 2.34923244  0.72681193  0.77717458  7.92731489  8.81911807  4.41332969
  3.45307634 -2.61251255 -1.39817769  9.28135312  2.06296871  1.51248949
  0.61123629  1.02846625]",[0.]
7,7,"[ 2.26402142  4.18760856  0.76137506  5.82389728 17.74268576  5.26666638
 -2.75505012 -3.75126464  7.41448402  6.76912572 15.84983477  1.54936128
 -2.16297349 -3.9857558 ]",[-0.69555851]
8,8,"[ 0.75096575  2.58473866 -6.55417946  3.00777777  8.23835459  4.46130047
 -1.32410089  3.04999587 -3.6915123  -6.58618115 27.4473339   1.712303
 -1.39847625  2.26476758]",[-2.24841173]
9,9,"[-4.95136237 -1.33418646  9.43932562  0.22212764  3.86780516  4.13313951
 -0.21898367 -4.64139985  4.72153788 -4.10379222 10.05054708  3.8909729
  1.58945025  0.57080038]",[-0.10775059]
10,10,"[-1.42245583  0.2489175  -0.96077338 -6.33196233 13.70402709  6.19883957
 -4.33984406 -0.95709159  2.53553313 -2.28796273 14.86533809  0.15818252
  3.10393382  4.58670942]",[0.]
11,11,"[ 3.84966212 -1.99313209 -1.18105197  4.46571729  9.59020812  4.17211219
  3.60224481  1.48263561 -1.43689863  1.55373214 11.7856025   1.9140468
  3.03591542 -0.77668764]",[0.]
12,12,"[-2.21202622  0.72184486 -9.28166998  7.05935871  6.48089667  0.21478109
  0.7186416   0.19803895  5.39335395  1.62104031 12.72014831  2.22067224
 -0.33953416  1.57713233]",[0.]
13,13,"[-0.90536817 -0.59612723  3.92767628 -3.0355536  12.84743159  2.2167429
  3.12107236  2.4861433   1.55410253  7.3165393   6.99986366  5.12518273
 -3.62492441 -4.46460554]",[-0.82883998]
