,evals,X,fX
0,0,[ 7.72023945 17.336027   12.26217986 24.82120739],[0.]
1,1,[ -0.46224765   3.36635012 -29.75737923   1.67905226],[0.12430098]
2,2,[-8.66211899 -7.55985422 -4.58070689 10.97594328],[0.]
3,3,[21.17466735 27.29080427 -6.25657989 -8.41009723],[0.]
4,4,[-29.1475673  -28.9544484   23.47380399 -20.00856185],[0.]
5,5,[  1.1235554    3.79231569 -25.94274295   1.90611964],[-0.03450664]
6,6,[ -2.35542077   2.05225766 -29.44540778  -1.49414679],[0.]
7,7,[ -0.81350853  -2.69203949 -27.80080356  -2.06386487],[0.03498594]
8,8,[ -1.51096493  -2.23657538 -25.22281629  -2.93376823],[0.]
9,9,[ -1.71384823   5.3599223  -27.32754409   1.50574786],[0.]
10,10,[ -0.1964086   -0.86651739 -28.80058365  -1.41962344],[-0.37734156]
11,11,[ -5.99100814   4.80327469 -29.61715114   1.82614982],[0.]
12,12,[  0.29867943  -4.89957487 -27.66195041  -5.72852499],[0.]
13,13,[ -6.42160855  -2.83437011 -26.54803803  -3.37922243],[0.]
14,14,[ -4.26624974   6.29549345 -29.68890805  -0.97004232],[0.01632146]
15,15,[ -6.25871528   5.1190577  -24.93244708  -4.65344101],[0.]
16,16,[ -8.51243894   6.81514648 -24.87120647  -1.11907342],[-0.05268864]
17,17,[-1.49208331e+00  1.16051576e+01 -2.96513610e+01  9.69267664e-03],[-0.00978189]
18,18,[  4.05150174   4.16769371 -18.10903567   4.00937215],[0.]
19,19,[  1.12762222  -7.28809773 -28.17772764  -1.27281617],[0.23106823]
20,20,[  2.53580414 -11.22475286 -25.19108026   2.71145897],[0.]
21,21,[  6.46504796  -7.27135565 -27.85195659  -5.8372619 ],[1.50342073]
22,22,[  8.33015055  -3.23188466 -28.18224858  -3.59922594],[0.]
23,23,[  5.64528847 -12.05428105 -27.22409185  -5.41361687],[1.71161676]
24,24,[  6.41739586 -13.73417094 -28.26871384  -5.87675343],[0.20407249]
25,25,[ -1.67833947   4.38418319 -26.64223208   3.31400092],[0.]
26,26,[  8.67887622 -10.3108613  -26.47034661  -5.30952532],[1.21998669]
27,27,[  6.2712839  -14.9249728  -26.55520908  -7.25196519],[0.48292167]
28,28,[  3.64733199 -11.63650951 -24.19231869  -4.97859941],[2.2501174]
29,29,[  4.89974578 -12.86114238 -20.84489994  -1.77444142],[3.17152731]
30,30,[  2.28085247 -12.2744644  -27.21691932  -6.00858528],[1.36576235]
