,evals,X,fX
0,0,"[ 4.458865   -0.1816862  -6.16558481  7.91725038  9.40452888  1.78456462
 -0.37201681 -4.64481971 -9.128707   -9.79781603 13.65667784  5.58624419
  4.35006074 -0.10690829]",[-0.]
1,1,"[-1.00420718  2.30739681  7.80529176 -8.81725574 24.9588943   3.59195029
  4.72334459  2.60924161  4.1466194   2.64555612 26.83927165  1.43303853
 -2.15783026  0.093949  ]",[2.45524892]
2,2,"[ 4.6428371  -2.85931946 -4.45454541  9.19639832  9.69075831  3.08198979
  1.63186398 -0.86379593 -2.2741285  -7.3268442  10.61046195  5.90270124
  3.06634695  3.27699141]",[0.5265244]
3,3,"[ 1.27992181  1.68197368 -4.25154434  6.4032176  15.17485116  0.80698301
  0.88360107 -1.42765574 -6.8056396  -5.68350701  3.44851328  5.43978094
  2.95620267 -3.84395664]",[-0.03567375]
4,4,"[ 3.85868562 -1.08089276 -9.98765879  4.63160095  5.80032744  3.2497898
 -3.69114057 -3.84030985 -6.9397478  -6.85257216 23.3484113   5.15506991
  4.10566113  0.97137049]",[-0.09741198]
5,5,"[ 2.76220527  2.35449657  1.04803082  5.31698512  2.37927469  0.68433262
  1.24443186 -1.71082076 -7.80225632 -8.15762632 21.07205046  3.67797654
  1.23645963 -1.57752476]",[-0.34886028]
6,6,"[ 1.12420015  3.54949265 -3.80868614  2.98667288 13.01352614  3.2082112
 -3.5684477  -4.64412759 -3.07820102 -5.58313235 10.98773624  4.15731699
  4.75564264  0.35736993]",[-0.]
7,7,"[ 1.06501042  2.76361924 -1.73584283  4.51694373  4.6646332   0.94199942
 -3.03101343 -2.13436102 -6.20226084 -9.81595665 11.61760141  5.22815288
  3.38036305 -2.82575313]",[0.12181065]
8,8,"[ 1.90880641 -1.02551758 -6.1073486   7.24859914  9.96210725  1.11722566
 -3.31155756 -1.14465416 -8.71108497 -9.80087246 15.40161823  4.04057618
  4.113608    0.1334995 ]",[-0.17949757]
9,9,"[ 3.15013762 -2.65429102 -0.49999236  5.91885607  6.99181914  0.38188632
 -1.65015447 -1.47312591 -8.76933881 -5.58615881 19.07143499  5.99130855
  2.03130243  3.02112129]",[0.07749342]
10,10,"[ 4.29025651 -1.57846146 -6.66184857  7.49867065  3.69689826  0.42908207
 -1.61006506 -3.35870804 -2.37869388 -3.27705133 23.10193755  5.61152482
  3.19837196 -1.4524265 ]",[0.02507162]
11,11,"[ 2.65341898  2.31463103 -3.30970529  3.74474368 16.81382092  2.22524597
  0.1939562  -4.7291731  -4.97205644 -7.64168214 11.41079405  4.69166184
  1.1698643   0.10115262]",[-0.]
12,12,"[ 1.27993159  1.05267566  4.19512142  4.05508433  6.72168708  3.52845542
 -2.3764966  -2.02546273 -0.1205969  -4.33948788  9.19657113  2.50827676
  1.2370981   1.48619537]",[-0.]
