,evals,X,fX
0,0,"[ 4.458865   -0.1816862  -6.16558481  7.91725038  9.40452888  1.78456462
 -0.37201681 -4.64481971 -9.128707   -9.79781603 13.65667784  5.58624419
  4.35006074 -0.10690829]",[-0.]
1,1,"[-1.00420718  2.30739681  7.80529176 -8.81725574 24.9588943   3.59195029
  4.72334459  2.60924161  4.1466194   2.64555612 26.83927165  1.43303853
 -2.15783026  0.093949  ]",[2.45524892]
2,2,"[-2.14901615 -2.80699243 -0.11626162  1.02044811  4.92427459  0.5067688
  3.26554163  1.26645801 -5.33689227  2.44425592 18.22557417  0.34675373
 -1.71835205  0.69091476]",[1.45719866]
3,3,"[ 0.98291181  1.84362585  8.2099323  -9.02898724 27.7312287   3.44349471
 -0.11770267 -2.65674399  9.76761088 -3.9515448  12.34969011  3.26470473
  1.41403481 -4.39901719]",[-0.21574847]
4,4,"[-1.41836398  1.44703046 -8.16808638  5.86512935  2.28150565  5.74578456
  0.02347738  3.38908268 -7.29992027  7.35194022 15.47063963  3.9230737
 -2.11921333  2.96020966]",[0.00285255]
5,5,"[ 2.86125953 -3.88459184  9.52749012 -5.52874621 27.84972141  2.19747895
 -3.51281525 -0.9310109   3.96505741 -1.18896803 24.13782022  2.77005334
  3.46265795 -1.3737286 ]",[2.92135962]
6,6,"[ 2.87162624e+00  3.26600410e+00 -3.47896730e+00 -5.68581565e+00
  2.85516523e+01  4.29632232e+00  2.17932463e+00 -5.40383225e-01
 -1.93806011e+00  7.03888584e+00  3.40317642e+00  2.88863982e+00
 -1.42879350e+00 -5.76496716e-03]",[2.83094204]
7,7,"[-4.25275848 -0.65936971  1.62492935  6.15559564  3.73347976  2.66409642
 -0.96340521  2.84550369  4.07183297 -9.30833005 25.76400282  4.56643901
  3.610278    4.33191163]",[1.53244536]
8,8,"[ 3.06982978 -2.32183598 -4.10090024 -2.6987797  20.36722994  1.25104836
  1.04921874 -4.06903497  9.4437239   7.39550795 22.86642332  3.85603678
 -3.72821759 -4.7098542 ]",[-0.02481396]
9,9,"[-2.82791687  1.55897941  6.96343489  3.77751839  4.51445149  3.21912317
 -4.66375184  3.39696387 -5.46303155 -4.63420789 14.5533981   3.11124156
  1.08448492  3.31539102]",[-0.54401087]
10,10,"[-3.73029179  1.06655989 -4.81799286  0.25662718 18.90458106  1.33418875
  1.8708499  -2.68212288  2.77628706  5.86784346 14.09397848  3.51082987
  2.58689554  0.66034053]",[-0.]
11,11,"[ 3.58429841 -3.01970149  5.65421312 -8.16720164  4.02786863  4.67486668
 -3.22193631  4.70215973 -2.34674746 -2.5133638  28.65207636  0.26207931
 -2.23903765 -2.07761966]",[-0.]
12,12,"[ 3.99601294 -1.84776032 -1.25712033  2.93020285 13.88520977  5.08270953
  0.06618429  1.73616759  1.48140861  9.8182939   8.6971843   1.56260106
  3.19736258  1.84292303]",[0.45496815]
